trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
502,rule1,否,做空,2025-05-11 02:29,2468.95,2025-05-11 06:44,2562.42,16,-3.786,-530.00,-21.2000,1010.6375,否,否,2578.99,2463.48,,2461.22,2482.51,2457.29,2481.63,2481.64,2487.50,2462.45,2468.95
503,rule1,否,做空,2025-05-11 07:14,2570.97,2025-05-11 08:29,2510.37,4,2.357,330.00,3.3000,1013.9375,否,否,2608.13,2504.27,,2570.59,2586.17,2556.78,2577.22,2577.21,2588.79,2563.68,2570.97
504,rule1,否,做多,2025-05-11 09:14,2549.95,2025-05-12 15:44,2604.05,121,2.121,297.00,2.9700,1016.9075,是,是,2624.00,2435.51,,2536.69,2552.01,2536.32,2544.12,2544.12,2557.99,2530.65,2549.95
505,rule1,否,做多,2025-05-11 10:44,2548.06,2025-05-12 15:29,2602.12,114,2.121,297.00,4.7520,1021.6595,是,是,2604.00,2435.51,,2545.59,2565.74,2545.34,2555.78,2555.77,2565.48,2541.41,2548.06
506,rule1,否,做多,2025-05-11 10:59,2543.58,2025-05-12 15:29,2597.54,113,2.121,297.00,4.7520,1026.4115,是,是,2604.00,2435.51,,2555.77,2565.48,2541.41,2548.06,2548.06,2548.06,2524.29,2543.58
507,rule1,否,做空,2025-05-11 13:59,2554.83,2025-05-11 15:14,2494.61,4,2.357,330.00,5.2800,1031.6915,否,否,2556.02,2481.02,,2551.13,2560.69,2549.40,2560.52,2560.52,2562.47,2552.55,2554.83
508,rule1,否,做多,2025-05-11 18:59,2510.79,2025-05-12 15:14,2564.05,80,2.121,297.00,4.7520,1036.4435,是,是,2575.00,2435.51,,2508.17,2511.24,2499.41,2500.56,2500.56,2511.36,2496.64,2510.79
509,rule1,否,做多,2025-05-12 15:44,2572.42,2025-05-13 02:59,2547.59,44,-0.965,-135.15,-5.4060,1031.0375,是,是,2585.83,2406.63,,2573.50,2604.00,2557.99,2598.74,2598.73,2624.00,2556.66,2572.42
510,rule1,否,做空,2025-05-12 20:59,2549.68,2025-05-12 22:44,2489.58,6,2.357,330.00,5.2800,1036.3175,否,否,2576.29,2488.81,,2547.02,2556.25,2540.30,2555.65,2555.64,2560.25,2549.55,2549.68
511,rule1,否,做空,2025-05-13 03:14,2451.69,2025-05-13 21:44,2475.36,73,-0.965,-135.15,-5.4060,1030.9115,是,是,2562.00,2415.30,,2448.09,2454.42,2406.63,2435.05,2435.05,2456.84,2428.89,2451.69
512,rule1,否,做空,2025-05-13 04:59,2485.65,2025-05-13 10:29,2427.06,21,2.357,330.00,5.2800,1036.1915,否,否,2500.36,2415.30,,2469.75,2487.44,2468.77,2480.03,2480.04,2496.00,2474.37,2485.65
513,rule1,否,做多,2025-05-13 05:44,2479.91,2025-05-13 20:44,2532.52,59,2.121,297.00,4.7520,1040.9435,是,是,2542.72,2415.30,,2477.90,2484.89,2468.88,2468.96,2468.95,2481.84,2467.32,2479.91
514,rule1,否,做空,2025-05-13 06:59,2485.85,2025-05-13 10:29,2427.25,13,2.357,330.00,5.2800,1046.2235,否,否,2500.36,2415.30,,2483.63,2496.74,2482.80,2492.00,2492.01,2497.52,2485.57,2485.85
515,rule1,否,做多,2025-05-13 10:29,2446.45,2025-05-13 19:29,2504.12,35,2.357,330.00,13.2000,1059.4235,否,否,2509.30,2418.23,,2453.11,2460.54,2434.21,2437.41,2437.42,2446.77,2415.30,2446.45
516,rule1,否,做空,2025-05-13 10:44,2433.21,2025-05-13 23:14,2456.70,49,-0.965,-135.15,-2.1624,1057.2611,是,是,2565.00,2418.23,,2437.42,2446.77,2415.30,2446.45,2446.45,2447.10,2432.68,2433.21
517,rule1,否,做多,2025-05-13 22:29,2552.01,2025-05-14 01:14,2612.16,10,2.357,330.00,13.2000,1070.4611,否,否,2615.00,2532.01,,2549.66,2555.90,2529.50,2537.08,2537.04,2557.00,2526.74,2552.01
518,rule1,否,做空,2025-05-14 02:44,2628.64,2025-05-14 03:59,2728.15,4,-3.786,-530.00,-5.3000,1065.1611,否,否,2738.50,2628.00,,2616.06,2630.32,2611.20,2622.43,2622.44,2650.00,2619.49,2628.64
519,rule1,否,做多,2025-05-14 03:59,2690.94,2025-05-14 22:29,2664.96,73,-0.965,-135.15,-5.4060,1059.7551,是,是,2725.99,2559.19,,2696.05,2716.59,2687.58,2713.61,2713.61,2738.50,2671.62,2690.94
520,rule1,否,做多,2025-05-14 07:44,2677.92,2025-05-14 22:29,2652.07,58,-0.965,-135.15,-2.1624,1057.5927,是,是,2725.99,2559.19,,2680.93,2683.26,2666.49,2668.09,2668.09,2677.92,2665.37,2677.92
521,rule1,否,做多,2025-05-14 08:44,2685.52,2025-05-14 22:29,2659.60,54,-0.965,-135.15,-1.3515,1056.2412,是,是,2725.99,2559.19,,2683.42,2699.53,2678.90,2689.28,2689.27,2697.18,2678.73,2685.52
522,rule1,否,做多,2025-05-14 10:44,2654.18,2025-05-15 15:59,2628.56,116,-0.965,-135.15,-5.4060,1050.8352,是,是,2687.75,2515.69,,2654.92,2669.50,2635.21,2639.05,2639.13,2654.92,2629.47,2654.18
