trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
337,rule1,否,做空,2025-03-05 15:14,2187.69,2025-03-06 01:44,2208.81,41,-0.965,-135.15,-5.4060,53.8178,是,是,2261.22,2161.78,,2191.10,2194.58,2166.48,2171.17,2171.18,2204.40,2171.18,2187.69
338,rule1,否,做空,2025-03-05 15:44,2189.64,2025-03-06 01:44,2260.10,39,-3.218,-450.50,-18.0200,35.7978,是,是,2261.22,2161.78,,2187.70,2189.79,2173.36,2176.71,2176.71,2196.27,2173.85,2189.64
339,rule1,否,做空,2025-03-05 23:59,2241.59,2025-03-06 10:29,2263.23,41,-0.965,-135.15,-2.1624,33.6354,是,是,2319.99,2234.07,,2237.09,2248.63,2236.90,2246.83,2246.83,2252.86,2241.35,2241.59
340,rule1,否,做空,2025-03-06 02:29,2270.30,2025-03-06 14:44,2222.14,48,2.121,297.00,11.8800,45.5154,是,是,2319.99,2208.60,,2263.49,2280.27,2261.30,2277.64,2277.64,2282.00,2266.70,2270.30
341,rule1,否,做空,2025-03-06 09:59,2284.27,2025-03-06 14:44,2230.43,18,2.357,330.00,5.2800,50.7954,否,否,2305.68,2208.60,,2281.80,2289.45,2278.94,2289.45,2289.45,2289.90,2280.19,2284.27
342,rule1,否,做空,2025-03-06 15:44,2266.77,2025-03-06 17:14,2213.34,5,2.357,330.00,5.2800,56.0754,否,否,2268.82,2203.14,,2248.37,2269.83,2247.50,2258.52,2258.52,2275.50,2252.26,2266.77
343,rule1,否,做多,2025-03-06 15:59,2257.49,2025-03-07 00:29,2184.85,33,-3.218,-450.50,-7.2080,48.8674,是,是,2265.70,2114.79,,2258.52,2275.50,2252.26,2266.77,2266.76,2268.82,2251.50,2257.49
344,rule1,否,做空,2025-03-06 22:59,2211.39,2025-03-07 00:29,2159.26,5,2.357,330.00,13.2000,62.0674,否,否,2227.39,2114.79,,2207.49,2220.91,2195.62,2218.60,2218.60,2222.99,2210.55,2211.39
345,rule1,否,做多,2025-03-07 00:14,2205.33,2025-03-07 00:29,2121.84,0,-3.786,-530.00,-5.3000,56.7674,否,否,2208.55,2114.79,,2207.21,2207.21,2201.00,2202.20,2202.21,2227.39,2200.88,2205.33
346,rule1,否,做多,2025-03-07 00:59,2117.71,2025-03-07 01:29,2167.63,1,2.357,330.00,3.3000,60.0674,否,否,2182.10,2109.35,,2127.70,2139.37,2110.14,2121.46,2121.46,2124.00,2101.82,2117.71
