排名,杠杆倍数,止盈%,止损%,K1涨跌幅%,总交易数,盈利次数,亏损次数,胜率%,总盈亏,总收益率%,平均盈利%,平均亏损%,盈亏比
13638,70,55,25,0.58,981,296,685,30.17,-8.4500,-0.86,0.786,-0.357,2.20
13639,75,60,30,0.34,2542,823,1719,32.38,-21.9000,-0.86,0.800,-0.400,2.00
13640,45,65,20,0.21,4428,997,3431,22.52,-38.1500,-0.86,1.444,-0.444,3.25
13641,30,55,30,0.38,2147,736,1411,34.28,-18.5000,-0.86,1.833,-1.000,1.83
13642,35,50,25,0.38,2147,691,1456,32.18,-18.5000,-0.86,1.429,-0.714,2.00
13643,25,50,25,0.38,2147,691,1456,32.18,-18.5000,-0.86,2.000,-1.000,2.00
13644,35,70,20,0.53,1171,249,922,21.26,-10.1000,-0.86,2.000,-0.571,3.50
13645,50,70,25,0.29,3188,810,2378,25.41,-27.5000,-0.86,1.400,-0.500,2.80
13646,30,65,30,0.51,1252,384,868,30.67,-10.8000,-0.86,2.167,-1.000,2.17
13647,35,60,40,0.51,1252,490,762,39.14,-10.8000,-0.86,1.714,-1.143,1.50
13648,30,40,20,0.42,1831,584,1247,31.90,-15.8000,-0.86,1.333,-0.667,2.00
13649,50,40,20,0.42,1831,584,1247,31.90,-15.8000,-0.86,0.800,-0.400,2.00
13650,20,40,20,0.26,3615,1153,2462,31.89,-31.2000,-0.86,2.000,-1.000,2.00
13651,60,40,20,0.45,1621,517,1104,31.89,-14.0000,-0.86,0.667,-0.333,2.00
13652,50,40,20,0.45,1621,517,1104,31.89,-14.0000,-0.86,0.800,-0.400,2.00
13653,80,70,35,0.45,1621,527,1094,32.51,-14.0000,-0.86,0.875,-0.438,2.00
13654,35,40,25,0.55,1088,404,684,37.13,-9.4000,-0.86,1.143,-0.714,1.60
13655,40,50,25,0.26,3617,1164,2453,32.18,-31.2500,-0.86,1.250,-0.625,2.00
13656,60,70,35,0.38,2147,698,1449,32.51,-18.5500,-0.86,1.167,-0.583,2.00
13657,35,65,40,0.47,1481,552,929,37.27,-12.8000,-0.86,1.857,-1.143,1.62
13658,35,45,30,0.56,1058,411,647,38.85,-9.1500,-0.86,1.286,-0.857,1.50
13659,45,45,30,0.56,1058,411,647,38.85,-9.1500,-0.86,1.000,-0.667,1.50
13660,65,45,25,0.44,1688,582,1106,34.48,-14.6000,-0.86,0.692,-0.385,1.80
13661,55,55,35,0.57,1023,388,635,37.93,-8.8500,-0.87,1.000,-0.636,1.57
13662,40,70,25,0.41,1913,486,1427,25.41,-16.5500,-0.87,1.750,-0.625,2.80
13663,80,70,25,0.41,1913,486,1427,25.41,-16.5500,-0.87,0.875,-0.312,2.80
13664,30,65,25,0.41,1913,513,1400,26.82,-16.5500,-0.87,2.167,-0.833,2.60
13665,30,65,35,0.41,1913,653,1260,34.13,-16.5500,-0.87,2.167,-1.167,1.86
13666,60,50,30,0.4,1999,728,1271,36.42,-17.3000,-0.87,0.833,-0.500,1.67
13667,40,50,25,0.34,2542,818,1724,32.18,-22.0000,-0.87,1.250,-0.625,2.00
13668,40,65,25,0.42,1831,491,1340,26.82,-15.8500,-0.87,1.625,-0.625,2.60
13669,30,65,25,0.42,1831,491,1340,26.82,-15.8500,-0.87,2.167,-0.833,2.60
13670,60,70,35,0.54,1132,368,764,32.51,-9.8000,-0.87,1.167,-0.583,2.00
