杠杆,止盈%,止损%,K1涨跌幅%,切换K线数,切换后止盈比例,切换后止损比例,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,盈亏比,总盈亏USDT,最终资金USDT,总收益率%
100,330,500,0.21,50,0.3,1.0,1533,1136,397,74.10,1.66,-5.00,81.2,0.95,-95.7500,1437.2500,-6.25
100,330,500,0.21,25,0.4,0.9,1537,1119,418,72.80,1.63,-4.58,72.5,0.95,-96.8800,1440.1200,-6.30
100,330,500,0.21,35,0.3,0.5,1536,991,545,64.52,1.53,-2.97,48.9,0.94,-98.1800,1437.8200,-6.39
100,330,500,0.21,30,0.4,0.9,1535,1109,426,72.25,1.68,-4.60,74.4,0.95,-99.1400,1435.8600,-6.46
100,330,500,0.21,45,0.4,0.8,1535,1048,487,68.27,1.88,-4.26,76.1,0.95,-99.6000,1435.4000,-6.49
100,330,500,0.21,45,0.4,0.9,1534,1078,456,70.27,1.87,-4.64,81.8,0.95,-101.5000,1432.5000,-6.62
100,330,500,0.21,5,0.3,0.8,1539,1208,331,78.49,1.01,-4.01,42.7,0.92,-102.0500,1436.9500,-6.63
100,330,500,0.21,20,0.3,0.5,1537,1017,520,66.17,1.30,-2.74,39.4,0.93,-104.0100,1432.9900,-6.77
100,330,500,0.21,30,0.3,0.5,1536,1000,536,65.10,1.45,-2.91,45.9,0.93,-105.6900,1430.3100,-6.88
100,330,500,0.21,15,0.3,0.6,1538,1091,447,70.94,1.18,-3.14,40.1,0.92,-112.3900,1425.6100,-7.31
100,330,500,0.21,20,0.4,0.8,1537,1093,444,71.11,1.57,-4.11,63.4,0.94,-113.9600,1423.0400,-7.41
100,330,500,0.21,30,0.4,0.8,1536,1075,461,69.99,1.69,-4.19,68.6,0.94,-115.0200,1420.9800,-7.49
100,330,500,0.21,25,0.3,0.5,1537,1004,533,65.32,1.39,-2.83,42.6,0.92,-116.4100,1420.5900,-7.57
100,330,500,0.21,35,0.4,0.7,1536,1027,509,66.86,1.77,-3.80,64.3,0.94,-117.5200,1418.4800,-7.65
100,330,500,0.21,5,0.3,0.7,1539,1168,371,75.89,1.02,-3.52,37.9,0.91,-118.1500,1420.8500,-7.68
100,330,500,0.21,20,0.4,0.7,1537,1051,486,68.38,1.58,-3.65,57.0,0.93,-119.4000,1417.6000,-7.77
100,330,500,0.21,25,0.4,0.8,1537,1082,455,70.40,1.64,-4.16,66.1,0.94,-120.2200,1416.7800,-7.82
100,330,500,0.21,45,0.4,0.7,1535,1006,529,65.54,1.91,-3.85,69.6,0.94,-121.0400,1413.9600,-7.89
100,330,500,0.21,30,0.4,0.7,1536,1035,501,67.38,1.70,-3.76,61.9,0.94,-121.3200,1414.6800,-7.90
100,330,500,0.21,35,0.4,0.8,1536,1064,472,69.27,1.75,-4.22,70.4,0.94,-124.1800,1411.8200,-8.08
100,330,500,0.21,25,0.4,0.7,1537,1041,496,67.73,1.65,-3.71,59.7,0.93,-125.8400,1411.1600,-8.19
100,330,500,0.21,40,0.3,0.6,1536,1022,514,66.54,1.61,-3.44,55.8,0.93,-127.5900,1408.4100,-8.31
