第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),第一笔合约收益%,第二笔合约收益%,综合收益%
140,做多,2025-02-15 06:45:00,2025-02-15 11:00:00,0.667,止盈,141,做多,2025-02-15 08:30:00,2025-02-15 10:00:00,0.667,止盈,双倍做多,2025-02-15 08:30:00,2025-02-15 10:00:00,90.0,40.0,40.0,1.334
154,做空,2025-02-21 02:15:00,2025-02-21 05:45:00,0.667,止盈,155,做多,2025-02-21 03:45:00,2025-02-21 15:15:00,0.667,止盈,方向冲突,2025-02-21 03:45:00,2025-02-21 05:45:00,120.0,40.0,40.0,1.334
166,做多,2025-02-25 08:45:00,2025-02-25 10:45:00,0.667,止盈,167,做多,2025-02-25 10:00:00,2025-02-25 10:30:00,0.667,止盈,双倍做多,2025-02-25 10:00:00,2025-02-25 10:30:00,30.0,40.0,40.0,1.334
170,做空,2025-02-26 00:45:00,2025-02-26 04:00:00,-1.667,止损,171,做多,2025-02-26 01:45:00,2025-02-26 03:30:00,0.667,止盈,方向冲突,2025-02-26 01:45:00,2025-02-26 03:30:00,105.0,-100.0,40.0,-1.0
170,做空,2025-02-26 00:45:00,2025-02-26 04:00:00,-1.667,止损,172,做多,2025-02-26 02:30:00,2025-02-26 03:30:00,0.667,止盈,方向冲突,2025-02-26 02:30:00,2025-02-26 03:30:00,60.0,-100.0,40.0,-1.0
171,做多,2025-02-26 01:45:00,2025-02-26 03:30:00,0.667,止盈,172,做多,2025-02-26 02:30:00,2025-02-26 03:30:00,0.667,止盈,双倍做多,2025-02-26 02:30:00,2025-02-26 03:30:00,60.0,40.0,40.0,1.334
173,做空,2025-02-26 04:30:00,2025-02-26 08:30:00,0.667,止盈,174,做多,2025-02-26 06:30:00,2025-02-26 16:15:00,-1.667,止损,方向冲突,2025-02-26 06:30:00,2025-02-26 08:30:00,120.0,40.0,-100.0,-1.0
180,做多,2025-02-27 12:15:00,2025-02-27 13:30:00,0.667,止盈,181,做空,2025-02-27 13:15:00,2025-02-27 15:15:00,-1.667,止损,方向冲突,2025-02-27 13:15:00,2025-02-27 13:30:00,15.0,40.0,-100.0,-1.0
200,做空,2025-03-04 04:45:00,2025-03-04 05:45:00,0.667,止盈,201,做空,2025-03-04 05:15:00,2025-03-04 05:45:00,0.667,止盈,双倍做空,2025-03-04 05:15:00,2025-03-04 05:45:00,30.0,40.0,40.0,1.334
202,做空,2025-03-04 12:15:00,2025-03-04 15:15:00,0.667,止盈,203,做空,2025-03-04 13:30:00,2025-03-04 15:00:00,0.667,止盈,双倍做空,2025-03-04 13:30:00,2025-03-04 15:00:00,90.0,40.0,40.0,1.334
202,做空,2025-03-04 12:15:00,2025-03-04 15:15:00,0.667,止盈,204,做多,2025-03-04 14:45:00,2025-03-04 17:00:00,0.667,止盈,方向冲突,2025-03-04 14:45:00,2025-03-04 15:15:00,30.0,40.0,40.0,1.334
203,做空,2025-03-04 13:30:00,2025-03-04 15:00:00,0.667,止盈,204,做多,2025-03-04 14:45:00,2025-03-04 17:00:00,0.667,止盈,方向冲突,2025-03-04 14:45:00,2025-03-04 15:00:00,15.0,40.0,40.0,1.334
206,做多,2025-03-04 21:30:00,2025-03-04 22:30:00,0.667,止盈,207,做多,2025-03-04 22:15:00,2025-03-04 22:30:00,0.667,止盈,双倍做多,2025-03-04 22:15:00,2025-03-04 22:30:00,15.0,40.0,40.0,1.334
211,做空,2025-03-05 03:15:00,2025-03-05 04:45:00,0.667,止盈,212,做空,2025-03-05 03:45:00,2025-03-05 04:45:00,0.667,止盈,双倍做空,2025-03-05 03:45:00,2025-03-05 04:45:00,60.0,40.0,40.0,1.334
218,做空,2025-03-05 23:00:00,2025-03-06 00:00:00,0.667,止盈,219,做空,2025-03-05 23:30:00,2025-03-06 00:00:00,0.667,止盈,双倍做空,2025-03-05 23:30:00,2025-03-06 00:00:00,30.0,40.0,40.0,1.334
222,做空,2025-03-06 10:15:00,2025-03-06 13:30:00,-1.667,止损,223,做空,2025-03-06 11:00:00,2025-03-06 20:45:00,0.667,止盈,双倍做空,2025-03-06 11:00:00,2025-03-06 13:30:00,150.0,-100.0,40.0,-1.0
223,做空,2025-03-06 11:00:00,2025-03-06 20:45:00,0.667,止盈,224,做多,2025-03-06 20:15:00,2025-03-06 22:00:00,-1.667,止损,方向冲突,2025-03-06 20:15:00,2025-03-06 20:45:00,30.0,40.0,-100.0,-1.0
224,做多,2025-03-06 20:15:00,2025-03-06 22:00:00,-1.667,止损,225,做多,2025-03-06 20:45:00,2025-03-06 22:45:00,-1.667,止损,双倍做多,2025-03-06 20:45:00,2025-03-06 22:00:00,75.0,-100.0,-100.0,-3.334
235,做空,2025-03-08 20:30:00,2025-03-09 01:30:00,-1.667,止损,236,做空,2025-03-08 21:30:00,2025-03-08 23:00:00,0.667,止盈,双倍做空,2025-03-08 21:30:00,2025-03-08 23:00:00,90.0,-100.0,40.0,-1.0
269,做空,2025-03-18 01:45:00,2025-03-18 09:00:00,0.667,止盈,270,做空,2025-03-18 02:45:00,2025-03-18 04:15:00,0.667,止盈,双倍做空,2025-03-18 02:45:00,2025-03-18 04:15:00,90.0,40.0,40.0,1.334
