交易编号,策略类型,方向,入场时间,入场价格,出场时间,出场价格,持仓时长,价格变动%,合约收益%,盈亏USDT,累计资金USDT,结果,K1最高,K1最低,K2最高,K2最低
44,rule1,做多,2025-09-02 04:45,108877.38,2025-09-02 05:00,108433.54,15分钟,-0.408%,-20.38%,-0.2038,-0.9663,收盘价平仓,109088.33,108472.99,108877.39,108284.00
45,rule1,做多,2025-09-02 20:45,108795.99,2025-09-02 21:00,109186.17,15分钟,0.359%,17.93%,0.1793,-0.7870,收盘价平仓,109470.00,108681.49,108834.63,108393.39
46,rule1,做空,2025-09-02 22:00,111026.99,2025-09-02 22:15,111483.87,15分钟,-0.412%,-20.58%,-0.2058,-0.9928,收盘价平仓,111275.93,110389.42,111500.00,110780.61
47,rule1,做空,2025-09-02 22:30,111530.00,2025-09-02 22:45,111360.01,15分钟,0.152%,7.62%,0.0762,-0.9166,收盘价平仓,111540.00,110817.10,111771.52,111364.51
48,rule1,做多,2025-09-04 22:15,109946.28,2025-09-04 22:30,110100.82,15分钟,0.141%,7.03%,0.0703,-0.8463,收盘价平仓,110523.98,109730.91,110028.00,109705.48
49,rule1,做空,2025-09-05 07:00,111412.63,2025-09-05 07:15,111118.15,15分钟,0.264%,13.22%,0.1322,-0.7141,收盘价平仓,111588.66,110738.70,111765.31,111345.18
50,rule1,做空,2025-09-09 14:15,112622.57,2025-09-09 14:30,112825.71,15分钟,-0.180%,-9.02%,-0.0902,-0.8043,收盘价平仓,112770.99,112151.16,112824.00,112500.16
51,rule1,做多,2025-09-09 22:45,111767.45,2025-09-09 23:00,111395.27,15分钟,-0.333%,-16.65%,-0.1665,-0.9708,收盘价平仓,112320.23,111535.67,111900.63,111511.11
52,rule1,做多,2025-09-09 23:45,110880.76,2025-09-10 00:00,111115.26,15分钟,0.211%,10.57%,0.1057,-0.8651,收盘价平仓,111303.84,110801.52,111049.95,110766.66
53,rule1,做多,2025-09-11 01:30,113634.73,2025-09-11 01:45,113738.01,15分钟,0.091%,4.54%,0.0454,-0.8196,收盘价平仓,114074.46,113427.66,113657.12,113415.20
54,rule1,做多,2025-09-11 21:15,113719.28,2025-09-11 21:30,113926.89,15分钟,0.183%,9.13%,0.0913,-0.7283,收盘价平仓,114011.43,113463.00,113804.68,113430.00
55,rule1,做空,2025-09-12 06:30,115139.99,2025-09-12 06:45,115084.00,15分钟,0.049%,2.43%,0.0243,-0.7040,收盘价平仓,115150.00,114551.39,115227.80,114928.00
56,rule1,做多,2025-09-15 17:00,114854.00,2025-09-15 17:15,115089.83,15分钟,0.205%,10.27%,0.1027,-0.6014,收盘价平仓,115306.62,114709.18,115024.63,114625.87
57,rule1,做空,2025-09-17 00:00,115760.41,2025-09-17 00:15,115858.01,15分钟,-0.084%,-4.22%,-0.0422,-0.6435,收盘价平仓,115905.89,115349.99,116000.00,115753.60
58,rule1,做多,2025-09-17 22:30,115594.68,2025-09-17 22:45,115606.61,15分钟,0.010%,0.52%,0.0052,-0.6384,收盘价平仓,116185.54,115583.91,115726.83,115432.00
59,rule1,做多,2025-09-18 02:45,115226.93,2025-09-18 03:00,115492.29,15分钟,0.230%,11.51%,0.1151,-0.5232,收盘价平仓,115965.89,114875.01,115442.45,114720.81
60,rule1,做多,2025-09-22 16:00,112634.99,2025-09-22 16:15,112629.98,15分钟,-0.004%,-0.22%,-0.0022,-0.5254,收盘价平仓,112999.00,112476.17,112750.00,112452.00
61,rule1,做多,2025-09-23 03:45,112122.90,2025-09-23 04:00,112127.20,15分钟,0.004%,0.19%,0.0019,-0.5235,收盘价平仓,112471.18,111964.99,112319.62,111936.40
62,rule1,做空,2025-09-23 11:30,112223.79,2025-09-23 11:45,112339.99,15分钟,-0.104%,-5.18%,-0.0518,-0.5753,收盘价平仓,112404.92,111795.30,112424.43,112210.00
63,rule1,做多,2025-09-26 02:00,109222.13,2025-09-26 02:15,109442.99,15分钟,0.202%,10.11%,0.1011,-0.4742,收盘价平仓,109455.05,108654.00,109255.31,108631.51
64,rule1,做空,2025-09-29 21:45,113227.29,2025-09-29 22:00,113803.51,15分钟,-0.509%,-25.45%,-0.2545,-0.7286,收盘价平仓,113300.00,112087.43,113490.00,113079.23
65,rule1,做空,2025-09-29 22:15,113743.00,2025-09-29 22:30,114079.26,15分钟,-0.296%,-14.78%,-0.1478,-0.8765,收盘价平仓,113825.00,113220.21,113926.00,113570.29
66,rule1,做空,2025-10-04 00:30,123778.33,2025-10-04 00:45,122553.30,15分钟,0.990%,49.48%,0.4948,-0.3816,收盘价平仓,123830.94,122941.08,123894.99,123531.95
67,rule1,做多,2025-10-04 01:00,122981.09,2025-10-04 01:15,122509.01,15分钟,-0.384%,-19.19%,-0.1919,-0.5735,收盘价平仓,123824.20,122508.63,123113.97,121661.44
68,rule1,做多,2025-10-04 02:00,122029.93,2025-10-04 02:15,122474.40,15分钟,0.364%,18.21%,0.1821,-0.3914,收盘价平仓,122601.00,121603.42,122155.78,121466.25
