第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔持仓K线数,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔持仓K线数,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),重叠K线数,第一笔重叠前已持仓K线数,综合收益%,第一笔合约收益%,第二笔合约收益%
569,做空,2025-07-20 23:00:00,2025-07-21 01:45:00,11,0.667,止盈,570,做空,2025-07-21 00:45:00,2025-07-21 01:00:00,1,0.667,止盈,双倍做空,2025-07-21 00:45:00,2025-07-21 01:00:00,15.0,1.0,7.0,1.334,40.0,40.0
586,做空,2025-07-25 01:15:00,2025-07-25 08:00:00,27,0.667,止盈,587,做空,2025-07-25 01:45:00,2025-07-25 07:15:00,22,0.667,止盈,双倍做空,2025-07-25 01:45:00,2025-07-25 07:15:00,330.0,22.0,2.0,1.334,40.0,40.0
595,做空,2025-07-29 04:00:00,2025-07-29 08:30:00,18,0.667,止盈,596,做空,2025-07-29 05:45:00,2025-07-29 08:30:00,11,0.667,止盈,双倍做空,2025-07-29 05:45:00,2025-07-29 08:30:00,165.0,11.0,7.0,1.334,40.0,40.0
599,做空,2025-07-30 09:45:00,2025-07-30 19:15:00,38,0.667,止盈,600,做空,2025-07-30 10:15:00,2025-07-30 17:30:00,29,0.667,止盈,双倍做空,2025-07-30 10:15:00,2025-07-30 17:30:00,435.0,29.0,2.0,1.334,40.0,40.0
604,做多,2025-08-01 08:15:00,2025-08-01 10:15:00,8,0.667,止盈,605,做多,2025-08-01 08:45:00,2025-08-01 10:00:00,5,0.667,止盈,双倍做多,2025-08-01 08:45:00,2025-08-01 10:00:00,75.0,5.0,2.0,1.334,40.0,40.0
630,做空,2025-08-12 14:30:00,2025-08-12 19:00:00,18,0.667,止盈,631,做空,2025-08-12 16:45:00,2025-08-12 18:00:00,5,0.667,止盈,双倍做空,2025-08-12 16:45:00,2025-08-12 18:00:00,75.0,5.0,9.0,1.334,40.0,40.0
645,做多,2025-08-15 23:45:00,2025-08-16 01:45:00,8,0.667,止盈,646,做多,2025-08-16 00:15:00,2025-08-16 00:45:00,2,0.667,止盈,双倍做多,2025-08-16 00:15:00,2025-08-16 00:45:00,30.0,2.0,2.0,1.334,40.0,40.0
651,做空,2025-08-18 23:00:00,2025-08-19 08:30:00,38,0.667,止盈,652,做空,2025-08-19 00:00:00,2025-08-19 00:30:00,2,0.667,止盈,双倍做空,2025-08-19 00:00:00,2025-08-19 00:30:00,30.0,2.0,4.0,1.334,40.0,40.0
673,做空,2025-08-27 22:30:00,2025-08-28 02:45:00,17,0.667,止盈,674,做空,2025-08-27 23:15:00,2025-08-28 00:30:00,5,0.667,止盈,双倍做空,2025-08-27 23:15:00,2025-08-28 00:30:00,75.0,5.0,3.0,1.334,40.0,40.0
675,做多,2025-08-28 07:45:00,2025-08-28 11:00:00,13,0.667,止盈,676,做多,2025-08-28 08:30:00,2025-08-28 10:00:00,6,0.667,止盈,双倍做多,2025-08-28 08:30:00,2025-08-28 10:00:00,90.0,6.0,3.0,1.334,40.0,40.0
687,做多,2025-09-04 23:15:00,2025-09-05 06:45:00,30,0.667,止盈,688,做多,2025-09-05 00:30:00,2025-09-05 06:45:00,25,0.667,止盈,双倍做多,2025-09-05 00:30:00,2025-09-05 06:45:00,375.0,25.0,5.0,1.334,40.0,40.0
688,做多,2025-09-05 00:30:00,2025-09-05 06:45:00,25,0.667,止盈,689,做多,2025-09-05 02:30:00,2025-09-05 06:15:00,15,0.667,止盈,双倍做多,2025-09-05 02:30:00,2025-09-05 06:15:00,225.0,15.0,8.0,1.334,40.0,40.0
688,做多,2025-09-05 00:30:00,2025-09-05 06:45:00,25,0.667,止盈,690,做多,2025-09-05 03:00:00,2025-09-05 05:15:00,9,0.667,止盈,双倍做多,2025-09-05 03:00:00,2025-09-05 05:15:00,135.0,9.0,10.0,1.334,40.0,40.0
689,做多,2025-09-05 02:30:00,2025-09-05 06:15:00,15,0.667,止盈,690,做多,2025-09-05 03:00:00,2025-09-05 05:15:00,9,0.667,止盈,双倍做多,2025-09-05 03:00:00,2025-09-05 05:15:00,135.0,9.0,2.0,1.334,40.0,40.0
705,做空,2025-09-18 09:45:00,2025-09-18 13:30:00,15,0.667,止盈,706,做空,2025-09-18 11:15:00,2025-09-18 12:30:00,5,0.667,止盈,双倍做空,2025-09-18 11:15:00,2025-09-18 12:30:00,75.0,5.0,6.0,1.334,40.0,40.0
736,做空,2025-10-11 03:45:00,2025-10-11 04:45:00,4,0.667,止盈,737,做空,2025-10-11 04:30:00,2025-10-11 04:45:00,1,0.667,止盈,双倍做空,2025-10-11 04:30:00,2025-10-11 04:45:00,15.0,1.0,3.0,1.334,40.0,40.0
751,做空,2025-10-14 03:15:00,2025-10-14 09:00:00,23,0.667,止盈,752,做空,2025-10-14 05:00:00,2025-10-14 07:30:00,10,0.667,止盈,双倍做空,2025-10-14 05:00:00,2025-10-14 07:30:00,150.0,10.0,7.0,1.334,40.0,40.0
763,做多,2025-10-17 00:00:00,2025-10-17 00:45:00,3,0.667,止盈,764,做多,2025-10-17 00:30:00,2025-10-17 00:45:00,1,0.667,止盈,双倍做多,2025-10-17 00:30:00,2025-10-17 00:45:00,15.0,1.0,2.0,1.334,40.0,40.0
796,做多,2025-11-04 16:15:00,2025-11-04 19:00:00,11,0.667,止盈,797,做多,2025-11-04 16:45:00,2025-11-04 19:15:00,10,0.667,止盈,双倍做多,2025-11-04 16:45:00,2025-11-04 19:00:00,135.0,9.0,2.0,1.334,40.0,40.0
801,做空,2025-11-05 11:45:00,2025-11-05 14:00:00,9,0.667,止盈,802,做空,2025-11-05 12:45:00,2025-11-05 15:15:00,10,0.667,止盈,双倍做空,2025-11-05 12:45:00,2025-11-05 14:00:00,75.0,5.0,4.0,1.334,40.0,40.0
