entry_time,exit_time,direction,size_usdt,entry_price,exit_price,leveraged_return_pct,pnl_usdt,holding_bars,weak,trailing_activated,trailing_exit,exit_type,k1_body_pct%,k2_body_ratio
2025-07-09 03:45,2025-07-09 11:45,short,1.00,2610.6100,2591.7500,101.14,1.0114,32,1,1,1,trailing_stop,0.2232,0.7616
2025-07-09 05:00,2025-07-09 13:00,long,1.60,2606.9000,2608.2100,7.04,0.1126,32,1,1,1,trailing_stop,0.3543,0.9177
2025-07-09 08:30,2025-07-09 16:15,long,1.00,2610.1900,2622.5800,66.45,0.6645,31,1,1,1,trailing_stop,0.2291,1.0134
2025-07-09 14:15,2025-07-10 00:30,short,1.00,2626.7800,2656.6127,-159.00,-1.5900,41,1,1,0,stop_loss,0.2584,0.7923
2025-07-09 15:00,2025-07-10 01:15,short,1.00,2625.3100,2655.1260,-159.00,-1.5900,41,1,1,0,stop_loss,0.2656,0.8479
2025-07-10 02:45,2025-07-10 03:45,long,1.00,2718.3300,2782.4049,330.00,3.3000,4,0,0,0,take_profit,0.2946,0.9014
2025-07-10 12:15,2025-07-10 20:15,long,1.60,2771.2300,2775.7400,22.78,0.3645,32,1,1,1,trailing_stop,0.3563,0.5056
2025-07-10 16:15,2025-07-11 00:00,short,1.00,2789.3800,2777.8500,57.87,0.5787,31,1,1,1,trailing_stop,0.2358,0.7416
2025-07-10 23:30,2025-07-11 01:45,long,1.60,2765.2200,2830.4002,330.00,5.2800,9,0,0,0,take_profit,0.3070,0.9800
2025-07-10 20:15,2025-07-11 05:15,long,1.60,2775.7400,2841.1682,330.00,5.2800,36,0,0,0,take_profit,0.3444,0.6907
2025-07-10 22:45,2025-07-11 05:15,short,1.00,2776.5100,2881.6207,-530.00,-5.3000,26,0,0,0,stop_loss,0.2485,0.7060
2025-07-11 02:00,2025-07-11 05:15,short,1.60,2819.8200,2926.5703,-530.00,-8.4800,13,0,0,0,stop_loss,0.4251,0.8815
2025-07-11 03:15,2025-07-11 05:15,short,1.00,2813.8400,2920.3639,-530.00,-5.3000,8,0,0,0,stop_loss,0.2988,0.7095
2025-07-11 07:00,2025-07-11 15:00,long,1.60,2967.8100,2980.1400,58.16,0.9306,32,1,1,1,trailing_stop,0.3391,0.6040
2025-07-11 08:00,2025-07-11 18:15,short,1.00,2943.9900,2977.4253,-159.00,-1.5900,41,1,1,0,stop_loss,0.2323,1.0673
2025-07-11 14:15,2025-07-11 22:15,short,1.00,3017.0000,2996.2000,96.52,0.9652,32,1,1,1,trailing_stop,0.2433,0.6566
2025-07-11 17:45,2025-07-12 04:30,long,1.00,3014.9900,2980.7483,-159.00,-1.5900,43,1,1,0,stop_loss,0.2480,1.2059
