交易编号,策略类型,包含关系,方向,入场时间,入场价格,出场时间,出场价格,持仓K线数,持仓时长,价格变动%,合约收益%,盈亏USDT,累计资金USDT,结果,跟踪止损激活,弱势收紧,最高价,最低价,跟踪止损价,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘,K3开盘,K3最高,K3最低,K3收盘
225,rule1,否,做空,2025-03-01 08:29,2233.59,2025-03-01 19:00,2186.21,43,645分钟,2.121%,297.00%,4.7520,426.7276,止盈,是,是,,2179.53,,2237.59,2245.41,2231.42,2244.39,2244.38,2246.58,2231.82,2233.59,,,,
226,rule1,否,做多,2025-03-01 10:59,2256.19,2025-03-01 21:15,2234.41,42,630分钟,-0.965%,-135.15%,-1.3515,425.3761,止损,是,是,2281.14,,2144.27,2260.09,2275.61,2255.44,2266.51,2266.45,2266.45,2254.52,2256.19,,,,
227,rule1,否,做空,2025-03-02 08:14,2212.45,2025-03-03 00:30,2233.81,66,990分钟,-0.965%,-135.15%,-2.1624,423.2137,止损,是,是,,2172.04,2302.36,2207.70,2219.95,2207.70,2217.39,2217.40,2221.30,2212.10,2212.45,,,,
228,rule1,否,做空,2025-03-02 09:29,2218.71,2025-03-03 00:30,2240.13,61,915分钟,-0.965%,-135.15%,-2.1624,421.0513,止损,是,是,,2172.04,2302.36,2215.50,2225.33,2215.00,2224.51,2224.51,2226.53,2218.71,2218.71,,,,
229,rule1,否,做空,2025-03-02 11:59,2220.18,2025-03-02 22:15,2173.08,42,630分钟,2.121%,297.00%,2.9700,424.0213,止盈,是,是,,2172.04,,2219.57,2226.80,2215.91,2224.70,2224.69,2230.82,2219.41,2220.18,,,,
230,rule1,否,做多,2025-03-03 01:59,2480.49,2025-03-03 05:30,2538.96,15,225分钟,2.357%,330.00%,13.2000,437.2213,止盈,否,否,2540.86,,,2462.66,2510.82,2456.78,2507.23,2507.15,2507.66,2452.71,2480.49,,,,
231,rule1,否,做多,2025-03-03 08:44,2479.80,2025-03-03 14:30,2385.92,24,360分钟,-3.786%,-530.00%,-5.3000,431.9213,止损,否,否,,,,2482.03,2493.25,2477.22,2488.23,2488.29,2493.26,2472.88,2479.80,,,,
232,rule1,否,做多,2025-03-03 11:14,2439.40,2025-03-03 16:45,2347.05,23,345分钟,-3.786%,-530.00%,-8.4800,423.4413,止损,否,否,,,,2439.41,2451.00,2437.55,2447.48,2447.49,2455.70,2437.36,2439.40,,,,
233,rule1,否,做多,2025-03-03 20:29,2358.82,2025-03-03 22:45,2269.52,10,150分钟,-3.786%,-530.00%,-8.4800,414.9613,止损,否,否,,,,2356.15,2376.78,2353.37,2364.44,2364.44,2366.04,2352.26,2358.82,,,,
234,rule1,否,做空,2025-03-04 00:29,2286.68,2025-03-04 02:15,2232.78,8,120分钟,2.357%,330.00%,13.2000,428.1613,止盈,否,否,,2203.58,,2287.30,2294.12,2258.00,2273.62,2273.63,2296.63,2266.99,2286.68,,,,
235,rule1,否,做空,2025-03-04 01:29,2278.12,2025-03-04 02:15,2224.42,4,60分钟,2.357%,330.00%,3.3000,431.4613,止盈,否,否,,2203.58,,2276.92,2282.97,2265.33,2271.84,2271.85,2287.34,2266.92,2278.12,,,,
236,rule1,否,做多,2025-03-04 01:59,2277.21,2025-03-04 02:30,2191.00,3,45分钟,-3.786%,-530.00%,-21.2000,410.2613,止损,否,否,,,,2278.13,2297.00,2277.05,2294.26,2294.26,2294.26,2273.38,2277.21,,,,
237,rule1,否,做空,2025-03-04 04:59,2129.16,2025-03-04 09:30,2078.97,19,285分钟,2.357%,330.00%,13.2000,423.4613,止盈,否,否,,2036.66,,2122.79,2132.31,2097.91,2104.92,2104.91,2132.47,2104.81,2129.16,,,,
238,rule1,否,做空,2025-03-04 05:29,2131.32,2025-03-04 09:30,2081.08,17,255分钟,2.357%,330.00%,5.2800,428.7413,止盈,否,否,,2036.66,,2129.16,2138.70,2123.36,2138.69,2138.70,2144.08,2130.41,2131.32,,,,
239,rule1,否,做多,2025-03-04 10:14,2053.84,2025-03-04 13:00,2102.25,12,180分钟,2.357%,330.00%,3.3000,432.0413,止盈,否,否,2122.12,,,2051.41,2075.20,2025.65,2056.46,2056.49,2070.13,2002.81,2053.84,,,,
240,rule1,否,做空,2025-03-04 11:44,2062.62,2025-03-05 00:15,2018.86,51,765分钟,2.121%,297.00%,4.7520,436.7933,止盈,是,是,,2016.49,,2063.61,2072.48,2054.64,2070.21,2070.22,2075.71,2060.00,2062.62,,,,
241,rule1,否,做多,2025-03-04 14:29,2106.83,2025-03-04 22:30,2156.49,33,495分钟,2.357%,330.00%,5.2800,442.0733,止盈,是,是,2158.32,,,2106.94,2111.87,2097.79,2099.08,2099.08,2109.00,2093.25,2106.83,,,,
242,rule1,否,做空,2025-03-04 17:44,2103.00,2025-03-04 21:30,2053.43,16,240分钟,2.357%,330.00%,13.2000,455.2733,止盈,否,否,,2053.37,,2103.17,2104.00,2085.00,2092.39,2092.39,2104.52,2088.18,2103.00,,,,
243,rule1,否,做多,2025-03-04 18:29,2089.45,2025-03-04 22:30,2138.70,17,255分钟,2.357%,330.00%,3.3000,458.5733,止盈,否,否,2158.32,,,2087.78,2095.00,2084.28,2092.97,2092.97,2096.66,2078.73,2089.45,,,,
244,rule1,否,做空,2025-03-04 21:59,2064.21,2025-03-04 22:30,2142.36,3,45分钟,-3.786%,-530.00%,-21.2000,437.3733,止损,否,否,,,,2059.96,2084.75,2053.37,2077.04,2077.05,2085.45,2054.80,2064.21,,,,
245,rule1,否,做空,2025-03-04 23:44,2074.09,2025-03-05 00:15,2025.20,3,45分钟,2.357%,330.00%,13.2000,450.5733,止盈,否,否,,2016.49,,2070.86,2075.52,2025.62,2053.82,2053.81,2083.00,2048.37,2074.09,,,,
246,rule1,否,做空,2025-03-05 02:29,2124.22,2025-03-05 05:15,2204.64,12,180分钟,-3.786%,-530.00%,-21.2000,429.3733,止损,否,否,,,,2118.90,2143.59,2109.75,2142.80,2142.80,2145.16,2120.62,2124.22,,,,
247,rule1,否,做空,2025-03-05 03:29,2151.67,2025-03-05 17:30,2172.44,57,855分钟,-0.965%,-135.15%,-5.4060,423.9673,止损,是,是,,2126.06,2253.62,2148.06,2165.51,2140.12,2164.30,2164.30,2167.70,2151.03,2151.67,,,,
248,rule1,否,做多,2025-03-05 06:14,2173.20,2025-03-05 16:15,2219.30,41,615分钟,2.121%,297.00%,4.7520,428.7193,止盈,是,是,2226.50,,,2186.47,2188.41,2173.20,2177.89,2177.89,2184.93,2170.00,2173.20,,,,
249,rule1,否,做多,2025-03-05 07:14,2177.31,2025-03-05 17:00,2228.63,40,600分钟,2.357%,330.00%,13.2000,441.9193,止盈,是,是,2251.70,,,2184.43,2184.43,2166.27,2166.50,2166.49,2180.00,2165.65,2177.31,,,,
250,rule1,否,做多,2025-03-05 08:44,2162.81,2025-03-05 16:00,2213.79,30,450分钟,2.357%,330.00%,3.3000,445.2193,止盈,否,否,2217.50,,,2171.90,2175.70,2160.25,2167.19,2167.11,2171.70,2155.60,2162.81,,,,
251,rule1,否,做多,2025-03-05 16:44,2216.80,2025-03-05 18:30,2269.05,8,120分钟,2.357%,330.00%,3.3000,448.5193,止盈,否,否,2273.51,,,2217.50,2226.50,2211.40,2212.56,2212.57,2218.60,2210.51,2216.80,,,,
252,rule1,否,做空,2025-03-05 17:44,2250.30,2025-03-05 21:30,2197.26,16,240分钟,2.357%,330.00%,3.3000,451.8193,止盈,否,否,,2193.70,,2241.03,2250.62,2233.97,2247.01,2247.02,2262.99,2246.20,2250.30,,,,
253,rule1,否,做多,2025-03-05 21:29,2212.59,2025-03-06 09:30,2259.53,49,735分钟,2.121%,297.00%,11.8800,463.6993,止盈,是,否,2261.22,,,2217.99,2224.00,2206.60,2206.60,2206.61,2216.96,2201.31,2212.59,,,,
254,rule1,否,做多,2025-03-05 22:14,2198.10,2025-03-06 07:45,2249.91,39,585分钟,2.357%,330.00%,5.2800,468.9793,止盈,否,否,2252.86,,,2194.01,2207.06,2193.20,2202.53,2202.54,2206.49,2192.41,2198.10,,,,
255,rule1,否,做空,2025-03-05 23:14,2187.69,2025-03-06 11:00,2208.81,48,720分钟,-0.965%,-135.15%,-5.4060,463.5733,止损,是,是,,2161.78,2291.49,2191.10,2194.58,2166.48,2171.17,2171.18,2204.40,2171.18,2187.69,,,,
256,rule1,否,做空,2025-03-05 23:44,2189.64,2025-03-06 11:00,2210.78,46,690分钟,-0.965%,-135.15%,-5.4060,458.1673,止损,是,是,,2161.78,2291.49,2187.70,2189.79,2173.36,2176.71,2176.71,2196.27,2173.85,2189.64,,,,
257,rule1,否,做多,2025-03-06 08:14,2246.90,2025-03-06 12:45,2299.86,19,285分钟,2.357%,330.00%,3.3000,461.4673,止盈,否,否,2307.19,,,2246.83,2252.86,2241.35,2241.59,2241.59,2247.74,2236.90,2246.90,,,,
258,rule1,否,做空,2025-03-06 10:29,2270.30,2025-03-06 22:30,2222.14,49,735分钟,2.121%,297.00%,11.8800,473.3473,止盈,是,是,,2208.60,,2263.49,2280.27,2261.30,2277.64,2277.64,2282.00,2266.70,2270.30,,,,
259,rule1,否,做空,2025-03-06 17:59,2284.27,2025-03-06 22:30,2230.43,19,285分钟,2.357%,330.00%,5.2800,478.6273,止盈,否,否,,2208.60,,2281.80,2289.45,2278.94,2289.45,2289.45,2289.90,2280.19,2284.27,,,,
260,rule1,否,做空,2025-03-06 23:44,2266.77,2025-03-07 01:00,2213.34,6,90分钟,2.357%,330.00%,5.2800,483.9073,止盈,否,否,,2203.14,,2248.37,2269.83,2247.50,2258.52,2258.52,2275.50,2252.26,2266.77,,,,
261,rule1,否,做空,2025-03-07 06:59,2211.39,2025-03-07 08:15,2159.26,6,90分钟,2.357%,330.00%,13.2000,497.1073,止盈,否,否,,2114.79,,2207.49,2220.91,2195.62,2218.60,2218.60,2222.99,2210.55,2211.39,,,,
262,rule1,否,做多,2025-03-07 08:14,2205.33,2025-03-07 08:15,2121.84,1,15分钟,-3.786%,-530.00%,-5.3000,491.8073,止损,否,否,,,,2207.21,2207.21,2201.00,2202.20,2202.21,2227.39,2200.88,2205.33,,,,
263,rule1,否,做多,2025-03-07 08:59,2117.71,2025-03-07 09:15,2167.63,2,30分钟,2.357%,330.00%,3.3000,495.1073,止盈,否,否,2182.10,,,2127.70,2139.37,2110.14,2121.46,2121.46,2124.00,2101.82,2117.71,,,,
264,rule1,否,做多,2025-03-07 10:44,2174.30,2025-03-07 21:30,2220.43,44,660分钟,2.121%,297.00%,11.8800,506.9873,止盈,是,否,2224.86,,,2176.38,2180.00,2161.81,2163.49,2163.50,2181.59,2159.44,2174.30,,,,
265,rule1,否,做多,2025-03-07 11:59,2147.89,2025-03-07 17:15,2198.52,22,330分钟,2.357%,330.00%,3.3000,510.2873,止盈,否,否,2210.50,,,2159.86,2160.51,2147.66,2153.67,2153.67,2153.69,2146.51,2147.89,,,,
266,rule1,否,做空,2025-03-07 17:44,2196.48,2025-03-08 00:45,2144.71,29,435分钟,2.357%,330.00%,13.2000,523.4873,止盈,否,否,,2144.31,,2194.25,2210.50,2189.72,2209.69,2209.69,2210.80,2195.00,2196.48,,,,
267,rule1,否,做多,2025-03-07 19:59,2197.49,2025-03-07 22:45,2249.29,12,180分钟,2.357%,330.00%,3.3000,526.7873,止盈,否,否,2258.47,,,2200.50,2200.67,2191.97,2193.92,2193.93,2197.49,2190.22,2197.49,,,,
268,rule1,否,做多,2025-03-07 21:59,2188.53,2025-03-07 22:45,2240.12,4,60分钟,2.357%,330.00%,13.2000,539.9873,止盈,否,否,2258.47,,,2192.19,2224.86,2185.96,2213.01,2213.00,2216.10,2180.73,2188.53,,,,
269,rule1,否,做空,2025-03-07 23:59,2209.68,2025-03-08 00:15,2157.59,2,30分钟,2.357%,330.00%,13.2000,553.1873,止盈,否,否,,2156.31,,2210.49,2210.49,2180.95,2199.61,2199.61,2224.22,2193.53,2209.68,,,,
270,rule1,否,做多,2025-03-08 01:29,2158.41,2025-03-09 01:15,2204.20,96,1440分钟,2.121%,297.00%,2.9700,556.1573,止盈,是,是,2219.67,,,2158.42,2165.32,2145.85,2153.49,2153.50,2160.70,2141.53,2158.41,,,,
271,rule1,否,做空,2025-03-08 01:59,2162.31,2025-03-08 09:30,2111.34,31,465分钟,2.357%,330.00%,13.2000,569.3573,止盈,否,否,,2105.06,,2158.42,2172.99,2149.39,2171.29,2171.30,2184.80,2152.86,2162.31,,,,
272,rule1,否,做空,2025-03-08 10:29,2134.21,2025-03-09 23:45,2088.93,150,2250分钟,2.121%,297.00%,2.9700,572.3273,止盈,是,是,,2084.67,,2133.07,2139.55,2131.81,2139.20,2139.20,2141.00,2132.35,2134.21,,,,
273,rule1,否,做多,2025-03-09 14:29,2179.40,2025-03-10 00:45,2158.36,42,630分钟,-0.965%,-135.15%,-2.1624,570.1649,止损,是,是,2189.44,,2058.07,2182.89,2182.89,2173.21,2174.84,2174.85,2179.99,2171.84,2179.40,,,,
274,rule1,否,做空,2025-03-09 22:29,2115.01,2025-03-10 00:45,2065.16,10,150分钟,2.357%,330.00%,3.3000,573.4649,止盈,否,否,,2041.99,,2104.48,2115.65,2098.33,2110.00,2110.00,2117.10,2104.76,2115.01,,,,
275,rule1,否,做多,2025-03-09 22:59,2117.50,2025-03-10 01:00,2037.34,9,135分钟,-3.786%,-530.00%,-5.3000,568.1649,止损,否,否,,,,2115.00,2124.65,2110.00,2110.06,2110.06,2118.09,2107.38,2117.50,,,,
276,rule1,否,做多,2025-03-10 00:14,2103.49,2025-03-10 01:15,2023.86,5,75分钟,-3.786%,-530.00%,-21.2000,546.9649,止损,否,否,,,,2107.20,2108.00,2084.67,2097.03,2097.01,2106.28,2077.22,2103.49,,,,
277,rule1,否,做多,2025-03-10 02:44,2019.01,2025-03-10 10:30,2066.60,32,480分钟,2.357%,330.00%,5.2800,552.2449,止盈,否,否,2071.00,,,2021.49,2033.39,2007.15,2027.64,2027.63,2039.20,2006.10,2019.01,,,,
278,rule1,否,做空,2025-03-10 04:29,2043.90,2025-03-10 07:00,1995.72,11,165分钟,2.357%,330.00%,13.2000,565.4449,止盈,否,否,,1989.66,,2040.47,2052.27,2036.61,2050.89,2050.89,2056.59,2041.49,2043.90,,,,
279,rule1,否,做多,2025-03-10 04:59,2047.03,2025-03-10 17:15,2090.46,50,750分钟,2.121%,297.00%,4.7520,570.1969,止盈,是,否,2152.40,,,2043.89,2055.50,2043.50,2051.00,2050.99,2051.00,2040.79,2047.03,,,,
280,rule1,否,做多,2025-03-10 06:44,2023.51,2025-03-10 12:00,2071.21,22,330分钟,2.357%,330.00%,5.2800,575.4769,止盈,否,否,2073.88,,,2023.70,2029.95,2009.00,2015.60,2015.59,2028.92,2006.20,2023.51,,,,
281,rule1,否,做多,2025-03-10 07:59,2020.41,2025-03-10 10:30,2068.03,11,165分钟,2.357%,330.00%,5.2800,580.7569,止盈,否,否,2071.00,,,2019.08,2024.57,2010.03,2011.48,2011.48,2020.41,2004.26,2020.41,,,,
282,rule1,否,做多,2025-03-10 15:44,2070.80,2025-03-10 17:15,2119.61,7,105分钟,2.357%,330.00%,3.3000,584.0569,止盈,否,否,2152.40,,,2069.69,2074.93,2063.31,2064.41,2064.41,2072.70,2063.00,2070.80,,,,
283,rule1,否,做多,2025-03-10 16:14,2070.20,2025-03-10 17:15,2119.00,5,75分钟,2.357%,330.00%,3.3000,587.3569,止盈,否,否,2152.40,,,2070.80,2076.00,2067.89,2075.29,2075.30,2077.30,2064.00,2070.20,,,,
284,rule1,否,做空,2025-03-10 16:59,2062.10,2025-03-10 17:15,2140.17,2,30分钟,-3.786%,-530.00%,-8.4800,578.8769,止损,否,否,,,,2066.34,2067.10,2047.83,2057.60,2057.59,2071.18,2057.50,2062.10,,,,
285,rule1,否,做多,2025-03-10 22:59,2018.96,2025-03-11 01:00,1942.53,9,135分钟,-3.786%,-530.00%,-21.2000,557.6769,止损,否,否,,,,2021.11,2029.22,2003.11,2004.03,2004.03,2021.73,1997.00,2018.96,,,,
286,rule1,否,做空,2025-03-10 23:44,2026.62,2025-03-11 01:00,1978.85,6,90分钟,2.357%,330.00%,5.2800,562.9569,止盈,否,否,,1930.00,,2027.50,2027.94,2011.68,2018.32,2018.32,2043.79,2018.06,2026.62,,,,
287,rule1,否,做多,2025-03-11 02:29,1911.83,2025-03-11 02:45,1839.45,2,30分钟,-3.786%,-530.00%,-21.2000,541.7569,止损,否,否,,,,1917.48,1939.12,1909.41,1931.68,1931.67,1935.48,1902.00,1911.83,,,,
288,rule1,否,做多,2025-03-11 04:59,1869.18,2025-03-11 08:45,1798.42,16,240分钟,-3.786%,-530.00%,-21.2000,520.5569,止损,否,否,,,,1871.25,1875.42,1851.38,1854.73,1854.73,1881.97,1843.23,1869.18,,,,
289,rule1,否,做空,2025-03-11 07:14,1885.25,2025-03-11 08:15,1840.81,5,75分钟,2.357%,330.00%,5.2800,525.8369,止盈,否,否,,1830.13,,1871.48,1886.64,1870.89,1880.02,1880.03,1895.49,1879.56,1885.25,,,,
290,rule1,否,做空,2025-03-11 09:29,1809.72,2025-03-11 11:00,1878.23,7,105分钟,-3.786%,-530.00%,-21.2000,504.6369,止损,否,否,,,,1813.96,1816.10,1774.13,1794.06,1794.05,1818.62,1787.49,1809.72,,,,
291,rule1,否,做空,2025-03-11 13:59,1893.60,2025-03-11 22:30,1848.97,35,525分钟,2.357%,330.00%,5.2800,509.9169,止盈,是,是,,1840.53,,1893.27,1894.95,1883.39,1887.01,1887.01,1898.02,1884.91,1893.60,,,,
292,rule1,否,做多,2025-03-11 19:59,1914.12,2025-03-11 21:15,1959.24,6,90分钟,2.357%,330.00%,13.2000,523.1169,止盈,否,否,1962.98,,,1914.56,1925.51,1912.62,1924.99,1924.99,1926.00,1912.20,1914.12,,,,
293,rule1,否,做多,2025-03-11 22:29,1872.08,2025-03-11 23:15,1916.21,4,60分钟,2.357%,330.00%,13.2000,536.3169,止盈,否,否,1918.43,,,1903.31,1912.63,1869.19,1890.50,1890.50,1894.68,1868.38,1872.08,,,,
294,rule1,否,做空,2025-03-11 22:59,1866.89,2025-03-12 02:00,1937.57,13,195分钟,-3.786%,-530.00%,-21.2000,515.1169,止损,否,否,,,,1872.08,1884.96,1840.53,1853.34,1853.32,1887.00,1843.06,1866.89,,,,
295,rule1,否,做多,2025-03-12 01:44,1902.56,2025-03-12 02:15,1947.41,3,45分钟,2.357%,330.00%,13.2000,528.3169,止盈,否,否,1959.00,,,1910.26,1915.66,1888.21,1891.69,1891.69,1903.70,1886.55,1902.56,,,,
296,rule1,否,做多,2025-03-12 12:29,1856.30,2025-03-12 15:00,1900.06,11,165分钟,2.357%,330.00%,3.3000,531.6169,止盈,否,否,1904.61,,,1868.89,1868.90,1855.70,1863.45,1863.46,1864.20,1854.36,1856.30,,,,
297,rule1,否,做多,2025-03-12 16:29,1914.93,2025-03-12 23:00,1842.44,27,405分钟,-3.786%,-530.00%,-21.2000,510.4169,止损,否,否,,,,1911.26,1926.86,1908.83,1925.77,1925.77,1927.80,1871.11,1914.93,,,,
298,rule1,否,做空,2025-03-12 20:14,1911.68,2025-03-12 22:30,1866.62,10,150分钟,2.357%,330.00%,5.2800,515.6969,止盈,否,否,,1856.05,,1908.93,1919.39,1906.39,1916.84,1916.85,1922.71,1908.19,1911.68,,,,
299,rule1,否,做多,2025-03-13 02:14,1875.42,2025-03-13 16:30,1854.12,58,870分钟,-1.136%,-159.00%,-2.5440,513.1529,止损,否,否,,,,1875.60,1882.96,1865.60,1867.81,1867.82,1878.39,1865.19,1875.42,,,,
300,rule1,否,做空,2025-03-13 02:59,1878.65,2025-03-14 01:30,1838.80,91,1365分钟,2.121%,297.00%,2.9700,516.1229,止盈,是,是,,1833.03,,1879.38,1884.57,1873.08,1884.36,1884.35,1888.19,1876.20,1878.65,,,,
301,rule1,否,做多,2025-03-13 09:14,1904.58,2025-03-15 02:30,1944.98,166,2490分钟,2.121%,297.00%,2.9700,519.0929,止盈,是,是,1945.64,,,1905.27,1905.56,1897.08,1899.96,1899.98,1906.27,1893.85,1904.58,,,,
302,rule1,否,做多,2025-03-13 11:14,1894.03,2025-03-14 23:00,1934.21,144,2160分钟,2.121%,297.00%,4.7520,523.8449,止盈,是,是,1935.69,,,1898.00,1901.40,1888.73,1889.90,1889.89,1894.92,1883.56,1894.03,,,,
303,rule1,否,做空,2025-03-13 18:44,1894.64,2025-03-14 01:15,1849.98,27,405分钟,2.357%,330.00%,5.2800,529.1249,止盈,否,否,,1840.32,,1894.64,1898.20,1867.53,1886.76,1886.76,1900.98,1886.76,1894.64,,,,
304,rule1,否,做多,2025-03-14 10:14,1886.18,2025-03-14 23:00,1926.19,52,780分钟,2.121%,297.00%,2.9700,532.0949,止盈,是,是,1935.69,,,1886.80,1889.37,1880.23,1881.60,1881.59,1887.00,1880.20,1886.18,,,,
305,rule1,否,做空,2025-03-14 18:59,1898.15,2025-03-19 18:30,1916.47,479,7185分钟,-0.965%,-135.15%,-2.1624,529.9325,止损,是,是,,1860.38,1972.00,1896.81,1906.57,1893.80,1903.53,1903.54,1908.93,1897.65,1898.15,,,,
306,rule1,否,做空,2025-03-15 01:14,1933.73,2025-03-16 19:00,1892.71,168,2520分钟,2.121%,297.00%,2.9700,532.9025,止盈,是,否,,1887.75,,1931.89,1937.56,1927.90,1936.44,1936.43,1939.99,1932.13,1933.73,,,,
307,rule1,否,做空,2025-03-15 03:29,1936.15,2025-03-16 19:00,1895.08,159,2385分钟,2.121%,297.00%,4.7520,537.6545,止盈,是,否,,1887.75,,1935.02,1943.78,1931.88,1941.00,1941.01,1945.25,1934.23,1936.15,,,,
308,rule1,否,做多,2025-03-15 21:14,1927.47,2025-03-19 18:30,1968.36,374,5610分钟,2.121%,297.00%,2.9700,540.6245,止盈,是,否,1990.29,,,1927.75,1929.96,1923.00,1923.00,1923.01,1927.50,1922.55,1927.47,,,,
309,rule1,否,做多,2025-03-16 19:44,1871.19,2025-03-17 00:00,1915.30,18,270分钟,2.357%,330.00%,13.2000,553.8245,止盈,否,否,1924.11,,,1893.72,1893.72,1870.20,1881.17,1881.17,1881.17,1868.58,1871.19,,,,
310,rule1,否,做空,2025-03-16 23:14,1891.74,2025-03-17 10:15,1913.22,45,675分钟,-1.136%,-159.00%,-2.5440,551.2805,止损,否,否,,,,1888.01,1897.13,1886.36,1896.83,1896.82,1898.33,1891.41,1891.74,,,,
311,rule1,否,做多,2025-03-17 01:29,1907.57,2025-03-18 02:30,1948.04,101,1515分钟,2.121%,297.00%,4.7520,556.0325,止盈,是,是,1950.98,,,1906.38,1916.47,1905.92,1914.39,1914.40,1916.44,1905.80,1907.57,,,,
312,rule1,否,做空,2025-03-17 11:29,1908.92,2025-03-19 18:30,1927.35,221,3315分钟,-0.965%,-135.15%,-2.1624,553.8701,止损,是,是,,1872.31,1984.65,1907.66,1914.40,1907.49,1914.40,1914.40,1915.44,1908.84,1908.92,,,,
313,rule1,否,做多,2025-03-18 07:44,1929.98,2025-03-19 18:30,1970.92,140,2100分钟,2.121%,297.00%,2.9700,556.8401,止盈,是,是,1990.29,,,1928.42,1930.50,1923.93,1924.16,1924.17,1930.41,1922.20,1929.98,,,,
314,rule1,否,做空,2025-03-19 22:59,2030.87,2025-03-20 18:00,1987.79,77,1155分钟,2.121%,297.00%,2.9700,559.8101,止盈,是,是,,1987.60,,2023.41,2030.90,2018.40,2028.28,2028.29,2033.45,2026.26,2030.87,,,,
315,rule1,否,做多,2025-03-20 08:14,2062.80,2025-03-21 20:30,2042.89,146,2190分钟,-0.965%,-135.15%,-2.1624,557.6477,止损,是,是,2063.32,,1939.52,2064.10,2064.10,2056.04,2056.06,2056.05,2067.90,2054.39,2062.80,,,,
316,rule1,否,做空,2025-03-20 18:59,1982.53,2025-03-21 20:30,1940.47,103,1545分钟,2.121%,297.00%,2.9700,560.6177,止盈,是,是,,1938.33,,1980.58,1985.60,1977.68,1984.90,1984.91,1988.13,1982.53,1982.53,,,,
317,rule1,否,做多,2025-03-20 21:44,1993.24,2025-03-24 12:45,2035.53,349,5235分钟,2.121%,297.00%,4.7520,565.3697,止盈,是,是,2043.76,,,1993.40,1993.41,1985.35,1986.15,1986.15,1998.49,1984.63,1993.24,,,,
318,rule1,否,做空,2025-03-21 06:59,1976.69,2025-03-24 13:30,1995.77,315,4725分钟,-0.965%,-135.15%,-2.1624,563.2073,止损,是,是,,1937.10,2053.33,1973.91,1980.50,1972.83,1980.30,1980.30,1982.78,1974.97,1976.69,,,,
319,rule1,否,做空,2025-03-21 22:29,1951.01,2025-03-24 14:00,1969.84,255,3825分钟,-0.965%,-135.15%,-2.1624,561.0449,止损,是,是,,1943.96,2060.60,1952.53,1953.23,1938.64,1943.62,1943.61,1954.39,1941.79,1951.01,,,,
320,rule1,否,做空,2025-03-21 23:14,1947.43,2025-03-24 14:00,1966.23,252,3780分钟,-0.965%,-135.15%,-2.1624,558.8825,止损,是,是,,1946.07,2062.83,1947.71,1954.88,1943.96,1954.49,1954.44,1955.74,1947.25,1947.43,,,,
321,rule1,否,做空,2025-03-24 18:14,2088.89,2025-03-25 11:30,2044.58,70,1050分钟,2.121%,297.00%,4.7520,563.6345,止盈,是,是,,2043.21,,2087.54,2095.00,2084.74,2094.30,2094.30,2098.29,2088.88,2088.89,,,,
322,rule1,否,做空,2025-03-24 22:29,2086.87,2025-03-25 11:45,2042.60,54,810分钟,2.121%,297.00%,11.8800,575.5145,止盈,是,是,,2041.83,,2082.33,2096.01,2081.53,2093.01,2093.00,2102.49,2085.35,2086.87,,,,
323,rule1,否,做多,2025-03-25 03:14,2093.70,2025-03-28 12:30,2073.49,326,4890分钟,-0.965%,-135.15%,-1.3515,574.1630,止损,是,是,2097.70,,1971.84,2091.87,2101.30,2091.79,2097.25,2097.25,2097.82,2090.48,2093.70,,,,
324,rule1,否,做空,2025-03-26 00:14,2073.28,2025-03-26 21:45,2029.30,87,1305分钟,2.121%,297.00%,2.9700,577.1330,止盈,是,是,,2026.98,,2073.57,2074.70,2065.18,2067.67,2067.67,2075.19,2066.00,2073.28,,,,
325,rule1,否,做多,2025-03-26 06:44,2062.87,2025-03-28 12:30,2042.96,216,3240分钟,-0.965%,-135.15%,-2.1624,574.9706,止损,是,是,2079.21,,1954.46,2067.12,2067.29,2057.20,2058.59,2058.59,2062.87,2053.85,2062.87,,,,
326,rule1,否,做多,2025-03-27 03:29,1990.04,2025-03-27 10:45,2036.95,30,450分钟,2.357%,330.00%,13.2000,588.1706,止盈,否,否,2037.38,,,1994.68,1998.35,1982.90,1984.89,1984.88,1994.57,1981.60,1990.04,,,,
327,rule1,否,做空,2025-03-28 07:44,2001.71,2025-03-28 12:30,1954.53,20,300分钟,2.357%,330.00%,3.3000,591.4706,止盈,否,否,,1900.00,,2000.61,2006.75,2000.60,2006.57,2006.58,2008.70,2001.70,2001.71,,,,
328,rule1,否,做多,2025-03-28 09:29,2001.51,2025-03-28 12:30,1925.74,13,195分钟,-3.786%,-530.00%,-8.4800,582.9906,止损,否,否,,,,2004.88,2005.49,1995.84,1997.04,1997.03,2001.73,1995.00,2001.51,,,,
329,rule1,否,做空,2025-03-28 22:59,1887.94,2025-03-29 19:15,1847.89,82,1230分钟,2.121%,297.00%,2.9700,585.9606,止盈,是,是,,1834.34,,1888.67,1893.81,1883.49,1893.08,1893.07,1894.45,1886.49,1887.94,,,,
330,rule1,否,做多,2025-03-29 05:14,1884.66,2025-03-30 01:15,1866.47,81,1215分钟,-0.965%,-135.15%,-5.4060,580.5546,止损,是,是,1913.60,,1798.78,1888.75,1889.30,1874.97,1877.29,1877.29,1887.28,1873.88,1884.66,,,,
