direction,result,k1_range,k1_body_size,k1_open_close_pct,k2_high_ratio,k2_low_ratio,k2_body_high_ratio,k2_body_low_ratio,k2_body_center_ratio,breakthrough_strength,k2_body_size,k2_body_size_ratio,k2_upper_shadow_ratio,k2_lower_shadow_ratio,k1_high,k1_low,k2_high,k2_low,k2_body_high,k2_body_low
short,loss,24.110000000000127,16.639999999999873,0.005140546368407843,1.2268768145997417,0.474906677727093,0.9440066362505225,0.540854417254247,0.7424305267523847,0.22687681459974166,9.720000000000255,0.5841346153846352,0.2828701783492191,0.06594773952715398,3255.0,3230.89,3260.47,3242.34,3253.65,3243.93
short,win,30.539999999999964,26.75,0.00814997166551907,1.08971840209562,0.45153896529142046,0.9364767518009149,0.5212835625409329,0.7288801571709314,0.08971840209562017,12.679999999999836,0.4740186915887789,0.15324165029470518,0.0697445972495125,3310.91,3280.37,3313.65,3294.16,3308.97,3296.29
long,win,61.94999999999982,59.48000000000002,0.018262204482652755,0.6684422921711053,-0.01743341404358975,0.57594834543987,0.03874092009684654,0.3073446327683619,0.01743341404358975,33.2800000000002,0.5595158036314759,0.09249394673123543,0.056174334140436294,3257.0,3195.05,3236.46,3193.97,3230.73,3197.45
short,loss,51.48999999999978,32.159999999999854,0.009954406589222824,1.03573509419305,0.3965818605554419,0.7743251116721706,0.4297921926587638,0.6020586521654716,0.03573509419305017,17.740000000000236,0.5516169154228954,0.26140998252087966,0.03321033210332188,3274.5,3223.01,3276.34,3243.43,3262.88,3245.14
long,win,32.91000000000031,17.740000000000236,0.005436914627568356,0.187784867821338,-0.34123366757824103,0.052263749620183486,0.01124278334853668,0.03175326648436699,0.34123366757824103,1.349999999999909,0.07609921082299273,0.1355211182011545,0.3524764509267777,3276.34,3243.43,3249.61,3232.2,3245.15,3243.8
short,win,28.590000000000146,23.800000000000182,0.00728136032943572,1.0045470444211142,0.3697096887023314,0.8744316194473548,0.5764253235396969,0.7254284714935179,0.004547044421114157,8.519999999999982,0.35798319327730743,0.13011542497375939,0.2067156348373655,3296.01,3267.42,3296.14,3277.99,3292.42,3283.9
long,win,30.699999999999818,20.980000000000018,0.0064232289431063625,0.2755700325732927,-0.10162866449511106,0.2534201954397474,0.01889250814332022,0.13615635179154123,0.10162866449511106,7.200000000000273,0.34318398474739115,0.022149837133545288,0.12052117263843128,3268.2,3237.5,3245.96,3234.38,3245.28,3238.08
long,loss,19.98999999999978,18.949999999999818,0.00580753907447129,0.7643821910955434,-0.3006503251625955,0.647823911955976,0.052026013006502,0.349924962481239,0.3006503251625955,11.909999999999854,0.6284960422163572,0.11655827913956741,0.3526763381690975,3263.0,3243.01,3258.29,3237.0,3255.96,3244.05
long,loss,20.449999999999818,14.069999999999709,0.004437673864087867,0.799999999999991,-1.3779951100244763,0.4410757946210299,0.20342298288508026,0.322249388753044,1.3779951100244763,4.860000000000127,0.34541577825161535,0.3589242053789612,1.5814180929095567,3172.81,3152.36,3168.72,3124.18,3161.38,3156.52
long,loss,36.289999999999964,28.940000000000055,0.009183715565033354,0.5373381096720865,-0.027555800496004437,0.20060622761091781,0.10471204188482187,0.15265913474786358,0.027555800496004437,3.480000000000018,0.12024879060124435,0.3367318820611687,0.1322678423808263,3151.29,3115.0,3134.5,3114.0,3122.28,3118.8
