重叠类型,信号1入场时间,信号1方向,信号1出场时间,信号1结果,信号1收益%,信号2入场时间,信号2方向,信号2出场时间,信号2结果,信号2收益%,合并收益%,合并盈亏(杠杆)
同向重叠-做多,2025-05-15 17:15,做多,2025-05-15 20:30,take_profit,0.67%,2025-05-15 17:45,做多,2025-05-15 19:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-05-17 04:45,做多,2025-05-17 08:15,stop_loss,-1.67%,2025-05-17 05:30,做多,2025-05-17 07:45,stop_loss,-1.67%,-3.33%,-2.00%
同向重叠-做多,2025-05-17 08:30,做多,2025-05-17 10:00,stop_loss,-1.67%,2025-05-17 09:15,做多,2025-05-17 12:30,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做空,2025-05-19 21:45,做空,2025-05-20 00:00,stop_loss,-1.67%,2025-05-19 22:45,做空,2025-05-20 01:00,stop_loss,-1.67%,-3.33%,-2.00%
同向重叠-做空,2025-05-20 07:45,做空,2025-05-20 08:45,take_profit,0.67%,2025-05-20 08:15,做空,2025-05-20 08:45,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-05-22 19:45,做空,2025-05-22 21:30,take_profit,0.67%,2025-05-22 21:15,做多,2025-05-22 22:30,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-05-27 16:15,做空,2025-05-28 00:45,stop_loss,-1.67%,2025-05-27 20:15,做多,2025-05-27 21:00,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做空,2025-05-27 16:15,做空,2025-05-28 00:45,stop_loss,-1.67%,2025-05-27 21:15,做空,2025-05-27 21:45,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做空遇到做多,2025-05-27 16:15,做空,2025-05-28 00:45,stop_loss,-1.67%,2025-05-27 22:30,做多,2025-05-28 00:15,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做空,2025-05-28 00:45,做空,2025-05-28 07:15,take_profit,0.67%,2025-05-28 01:45,做空,2025-05-28 02:30,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-06-06 11:00,做空,2025-06-06 17:30,stop_loss,-1.67%,2025-06-06 13:30,做多,2025-06-06 17:15,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做空遇到做多,2025-06-10 07:45,做空,2025-06-10 14:00,take_profit,0.67%,2025-06-10 10:15,做多,2025-06-10 19:00,take_profit,0.67%,1.33%,+0.80%
反向重叠-做多遇到做空,2025-06-10 10:15,做多,2025-06-10 19:00,take_profit,0.67%,2025-06-10 15:30,做空,2025-06-10 19:30,stop_loss,-1.67%,-1.00%,-0.60%
反向重叠-做多遇到做空,2025-06-12 05:45,做多,2025-06-12 16:00,stop_loss,-1.67%,2025-06-12 11:45,做空,2025-06-12 15:30,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做空遇到做多,2025-06-13 11:15,做空,2025-06-13 16:00,stop_loss,-1.67%,2025-06-13 12:15,做多,2025-06-13 14:45,take_profit,0.67%,-1.00%,-0.60%
