第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔持仓K线数,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔持仓K线数,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),重叠K线数,第一笔重叠前已持仓K线数,综合收益%,第一笔合约收益%,第二笔合约收益%
346,做空,2025-04-12 00:45:00,2025-04-12 09:45:00,36,0.667,止盈,347,做空,2025-04-12 03:15:00,2025-04-12 09:00:00,23,0.667,止盈,双倍做空,2025-04-12 03:15:00,2025-04-12 09:00:00,345.0,23.0,10.0,1.334,40.0,40.0
347,做空,2025-04-12 03:15:00,2025-04-12 09:00:00,23,0.667,止盈,348,做空,2025-04-12 05:15:00,2025-04-12 05:30:00,1,0.667,止盈,双倍做空,2025-04-12 05:15:00,2025-04-12 05:30:00,15.0,1.0,8.0,1.334,40.0,40.0
355,做多,2025-04-14 13:45:00,2025-04-14 15:45:00,8,0.667,止盈,356,做多,2025-04-14 15:15:00,2025-04-14 15:45:00,2,0.667,止盈,双倍做多,2025-04-14 15:15:00,2025-04-14 15:45:00,30.0,2.0,6.0,1.334,40.0,40.0
357,做空,2025-04-14 16:00:00,2025-04-14 18:30:00,10,-1.667,止损,358,做多,2025-04-14 17:30:00,2025-04-14 18:00:00,2,0.667,止盈,方向冲突,2025-04-14 17:30:00,2025-04-14 18:00:00,30.0,2.0,6.0,-1.0,-100.0,40.0
366,做空,2025-04-17 02:30:00,2025-04-17 04:00:00,6,-1.667,止损,367,做多,2025-04-17 03:30:00,2025-04-17 03:45:00,1,0.667,止盈,方向冲突,2025-04-17 03:30:00,2025-04-17 03:45:00,15.0,1.0,4.0,-1.0,-100.0,40.0
392,做空,2025-05-01 18:30:00,2025-05-01 21:30:00,12,0.667,止盈,393,做空,2025-05-01 19:00:00,2025-05-01 21:30:00,10,0.667,止盈,双倍做空,2025-05-01 19:00:00,2025-05-01 21:30:00,150.0,10.0,2.0,1.334,40.0,40.0
415,做多,2025-05-11 14:45:00,2025-05-11 15:45:00,4,-1.667,止损,416,做多,2025-05-11 15:15:00,2025-05-11 17:15:00,8,0.667,止盈,双倍做多,2025-05-11 15:15:00,2025-05-11 15:45:00,30.0,2.0,2.0,-1.0,-100.0,40.0
416,做多,2025-05-11 15:15:00,2025-05-11 17:15:00,8,0.667,止盈,417,做空,2025-05-11 16:15:00,2025-05-11 19:45:00,14,-1.667,止损,方向冲突,2025-05-11 16:15:00,2025-05-11 17:15:00,60.0,4.0,4.0,-1.0,40.0,-100.0
418,做空,2025-05-12 00:30:00,2025-05-12 03:15:00,11,-1.667,止损,419,做空,2025-05-12 02:45:00,2025-05-12 06:30:00,15,0.667,止盈,双倍做空,2025-05-12 02:45:00,2025-05-12 03:15:00,30.0,2.0,9.0,-1.0,-100.0,40.0
422,做多,2025-05-13 02:30:00,2025-05-13 03:15:00,3,0.667,止盈,423,做空,2025-05-13 03:00:00,2025-05-13 06:30:00,14,-1.667,止损,方向冲突,2025-05-13 03:00:00,2025-05-13 03:15:00,15.0,1.0,2.0,-1.0,40.0,-100.0
432,做多,2025-05-15 17:15:00,2025-05-15 20:30:00,13,0.667,止盈,433,做多,2025-05-15 17:45:00,2025-05-15 19:15:00,6,0.667,止盈,双倍做多,2025-05-15 17:45:00,2025-05-15 19:15:00,90.0,6.0,2.0,1.334,40.0,40.0
439,做多,2025-05-17 04:45:00,2025-05-17 08:15:00,14,-1.667,止损,440,做多,2025-05-17 05:30:00,2025-05-17 07:45:00,9,-1.667,止损,双倍做多,2025-05-17 05:30:00,2025-05-17 07:45:00,135.0,9.0,3.0,-3.334,-100.0,-100.0
441,做多,2025-05-17 08:30:00,2025-05-17 10:00:00,6,-1.667,止损,442,做多,2025-05-17 09:15:00,2025-05-17 12:30:00,13,0.667,止盈,双倍做多,2025-05-17 09:15:00,2025-05-17 10:00:00,45.0,3.0,3.0,-1.0,-100.0,40.0
448,做多,2025-05-19 12:45:00,2025-05-19 13:30:00,3,0.667,止盈,449,做空,2025-05-19 13:15:00,2025-05-19 14:45:00,6,0.667,止盈,方向冲突,2025-05-19 13:15:00,2025-05-19 13:30:00,15.0,1.0,2.0,1.334,40.0,40.0
450,做空,2025-05-19 21:45:00,2025-05-20 00:00:00,9,-1.667,止损,451,做空,2025-05-19 22:45:00,2025-05-20 01:00:00,9,-1.667,止损,双倍做空,2025-05-19 22:45:00,2025-05-20 00:00:00,75.0,5.0,4.0,-3.334,-100.0,-100.0
452,做多,2025-05-20 02:00:00,2025-05-20 04:15:00,9,0.667,止盈,453,做多,2025-05-20 02:30:00,2025-05-20 03:30:00,4,0.667,止盈,双倍做多,2025-05-20 02:30:00,2025-05-20 03:30:00,60.0,4.0,2.0,1.334,40.0,40.0
454,做空,2025-05-20 07:45:00,2025-05-20 08:45:00,4,0.667,止盈,455,做空,2025-05-20 08:15:00,2025-05-20 08:45:00,2,0.667,止盈,双倍做空,2025-05-20 08:15:00,2025-05-20 08:45:00,30.0,2.0,2.0,1.334,40.0,40.0
462,做空,2025-05-22 19:45:00,2025-05-22 21:30:00,7,0.667,止盈,463,做多,2025-05-22 21:15:00,2025-05-22 22:30:00,5,0.667,止盈,方向冲突,2025-05-22 21:15:00,2025-05-22 21:30:00,15.0,1.0,6.0,1.334,40.0,40.0
466,做多,2025-05-24 06:45:00,2025-05-24 11:15:00,18,0.667,止盈,467,做多,2025-05-24 08:30:00,2025-05-24 11:00:00,10,0.667,止盈,双倍做多,2025-05-24 08:30:00,2025-05-24 11:00:00,150.0,10.0,7.0,1.334,40.0,40.0
474,做空,2025-05-28 00:45:00,2025-05-28 07:15:00,26,0.667,止盈,475,做空,2025-05-28 01:45:00,2025-05-28 02:30:00,3,0.667,止盈,双倍做空,2025-05-28 01:45:00,2025-05-28 02:30:00,45.0,3.0,4.0,1.334,40.0,40.0
492,做空,2025-06-06 11:00:00,2025-06-06 17:30:00,26,-1.667,止损,493,做多,2025-06-06 13:30:00,2025-06-06 17:15:00,15,0.667,止盈,方向冲突,2025-06-06 13:30:00,2025-06-06 17:15:00,225.0,15.0,10.0,-1.0,-100.0,40.0
497,做空,2025-06-10 07:45:00,2025-06-10 14:00:00,25,0.667,止盈,498,做多,2025-06-10 10:15:00,2025-06-10 19:00:00,35,0.667,止盈,方向冲突,2025-06-10 10:15:00,2025-06-10 14:00:00,225.0,15.0,10.0,1.334,40.0,40.0
500,做多,2025-06-10 21:45:00,2025-06-11 02:45:00,20,0.667,止盈,501,做多,2025-06-11 00:15:00,2025-06-11 02:45:00,10,0.667,止盈,双倍做多,2025-06-11 00:15:00,2025-06-11 02:45:00,150.0,10.0,10.0,1.334,40.0,40.0
506,做空,2025-06-13 11:15:00,2025-06-13 16:00:00,19,-1.667,止损,507,做多,2025-06-13 12:15:00,2025-06-13 14:45:00,10,0.667,止盈,方向冲突,2025-06-13 12:15:00,2025-06-13 14:45:00,150.0,10.0,4.0,-1.0,-100.0,40.0
