交易编号,方向,结果,K1柱体,突破力度比,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘
1094,做多,止盈,11.989999999999782,-0.7072560467056024,2257.49,2260.0,2245.06,2245.5,2245.51,2251.52,2243.6,2249.79
327,做空,止盈,16.970000000000255,-0.7083087802003687,2789.99,2809.48,2789.49,2806.96,2806.91,2827.0,2801.51,2804.55
1320,做多,止盈,19.080000000000837,-0.7085953878406627,4175.81,4175.92,4151.62,4156.73,4156.72,4162.4,4148.52,4162.23
644,做空,止盈,31.920000000000073,-0.7092731829573878,1485.61,1519.89,1481.63,1517.53,1517.5,1524.41,1504.27,1506.38
1260,做空,止盈,25.919999999999618,-0.7094907407407463,3825.01,3856.85,3825.01,3850.93,3850.92,3860.22,3843.4,3855.58
1265,做空,止盈,23.2800000000002,-0.7096219931271409,3791.73,3815.5,3784.68,3815.01,3815.0,3816.26,3801.2,3806.81
629,做多,止损,8.200000000000045,-0.7097560975609639,1786.18,1786.82,1777.04,1777.98,1777.98,1781.0,1775.59,1778.61
733,做多,止盈,10.970000000000027,-0.7110300820419266,1589.96,1590.44,1578.06,1578.99,1579.0,1582.64,1577.47,1581.58
1602,做空,止损,38.38999999999987,-0.7111226882000592,4043.11,4090.0,4042.75,4081.5,4081.5,4096.37,4070.05,4080.39
392,做多,止盈,11.460000000000036,-0.7111692844676798,2223.0,2229.24,2207.53,2211.54,2211.55,2221.09,2206.53,2212.31
867,做多,止盈,15.88000000000011,-0.7115869017632022,2654.17,2654.18,2636.5,2638.29,2638.29,2642.88,2624.32,2642.36
1457,做多,止损,20.800000000000182,-0.7144230769230987,4476.81,4476.81,4454.89,4456.01,4456.0,4461.95,4445.42,4460.61
873,做空,止盈,16.169999999999618,-0.7149041434755855,2597.32,2614.33,2594.18,2613.49,2613.49,2614.79,2605.74,2606.75
1119,做多,止损,14.63000000000011,-0.7149692412850279,2588.56,2588.78,2572.23,2573.93,2573.94,2578.32,2571.56,2575.18
33,做多,止盈,16.859999999999673,-0.7153024911032135,3318.95,3318.95,3298.97,3302.09,3302.08,3306.89,3284.88,3300.61
