排名,止损延迟(K线),止损延迟(分钟),K1涨跌幅%,总交易数,胜率%,总盈亏USDT,收益率%,盈亏比,平均持仓K线数
2448,10,150,0.52,291,57.04,23.6214,8.12,1.47,16.3
2449,18,270,0.1,4120,57.04,241.6660,5.87,1.34,32.9
2450,16,240,0.16,2772,57.03,165.2980,5.96,1.35,28.9
2451,18,270,0.12,3654,57.03,215.2660,5.89,1.34,31.6
2452,8,120,0.38,640,57.03,43.6766,6.82,1.40,18.6
2453,15,225,0.17,2590,57.03,154.8980,5.98,1.35,28.2
2454,15,225,0.58,221,57.01,19.5923,8.87,1.52,18.6
2455,16,240,0.58,221,57.01,19.5923,8.87,1.52,19.5
2456,17,255,0.58,221,57.01,19.5923,8.87,1.52,20.0
2457,20,300,0.59,214,57.01,19.1923,8.97,1.52,21.6
2458,16,240,0.14,3179,57.00,187.2980,5.89,1.34,29.9
2459,13,195,0.18,2379,57.00,142.0749,5.97,1.35,26.9
2460,9,135,0.26,1358,57.00,84.1854,6.20,1.36,22.6
2461,8,120,0.4,579,56.99,40.0766,6.92,1.40,18.2
2462,22,330,0.64,179,56.98,16.9289,9.46,1.55,22.1
2463,15,225,0.15,2966,56.98,175.1245,5.90,1.34,29.0
2464,18,270,0.11,3886,56.97,226.4660,5.83,1.34,32.2
2465,6,90,0.44,460,56.96,32.2624,7.01,1.41,15.9
2466,8,120,0.28,1182,56.94,73.7854,6.24,1.36,21.4
2467,8,120,0.41,548,56.93,37.9767,6.93,1.40,17.9
2468,15,225,0.61,202,56.93,18.4285,9.12,1.53,18.0
2469,16,240,0.61,202,56.93,18.4285,9.12,1.53,18.9
2470,17,255,0.61,202,56.93,18.4285,9.12,1.53,19.5
2471,18,270,0.61,202,56.93,18.4285,9.12,1.53,19.9
2472,19,285,0.61,202,56.93,18.4285,9.12,1.53,20.4
2473,8,120,0.27,1277,56.93,78.9854,6.19,1.36,21.9
2474,8,120,0.51,311,56.91,23.5986,7.59,1.44,15.5
2475,9,135,0.51,311,56.91,23.5986,7.59,1.44,15.8
2476,6,90,0.49,348,56.90,25.5885,7.35,1.43,15.3
2477,38,570,0.76,116,56.90,13.0811,11.28,1.65,30.2
2478,12,180,0.19,2248,56.90,132.8749,5.91,1.34,26.2
2479,21,315,0.66,160,56.88,15.5658,9.73,1.56,21.3
2480,7,105,0.43,489,56.85,33.4624,6.84,1.40,16.7
2481,22,330,0.69,146,56.85,14.6280,10.02,1.58,22.0
2482,7,105,0.48,373,56.84,26.8205,7.19,1.42,15.7
2483,10,150,0.53,278,56.83,22.4095,8.06,1.47,16.5
2484,15,225,0.16,2773,56.83,160.8980,5.80,1.34,28.5
2485,11,165,0.2,2087,56.83,122.7796,5.88,1.34,25.4
2486,30,450,0.71,132,56.82,14.2886,10.82,1.63,26.5
2487,30,450,0.72,132,56.82,14.2886,10.82,1.63,26.5
2488,31,465,0.71,132,56.82,14.2886,10.82,1.63,26.9
2489,31,465,0.72,132,56.82,14.2886,10.82,1.63,26.9
2490,32,480,0.71,132,56.82,14.2886,10.82,1.63,27.4
2491,32,480,0.72,132,56.82,14.2886,10.82,1.63,27.4
2492,10,150,0.22,1797,56.82,107.0424,5.96,1.34,24.2
2493,5,75,0.45,433,56.81,30.2426,6.98,1.40,15.3
2494,10,150,0.21,1938,56.81,114.6424,5.92,1.34,24.8
2495,8,120,0.35,764,56.81,49.5318,6.48,1.38,19.2
2496,22,330,0.65,169,56.80,15.9658,9.45,1.55,22.1
2497,38,570,0.73,125,56.80,13.6496,10.92,1.63,30.0
2498,4,60,0.46,412,56.80,28.9707,7.03,1.41,14.8
2499,14,210,0.17,2590,56.80,150.0199,5.79,1.34,27.8
2500,14,210,0.15,2966,56.78,170.2464,5.74,1.33,28.7
2501,16,240,0.13,3410,56.77,194.2069,5.70,1.33,30.3
2502,9,135,0.23,1670,56.77,98.5924,5.90,1.34,23.4
