trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
183,rule1,否,做空,2025-05-09 06:59,2179.47,2025-05-09 15:14,2249.60,32,-3.218,-450.50,-18.0200,303.4836,是,是,2302.95,2166.29,,2180.10,2195.72,2172.30,2195.04,2195.08,2196.77,2177.55,2179.47
184,rule1,否,做多,2025-05-09 16:44,2378.55,2025-05-09 22:44,2288.50,23,-3.786,-530.00,-21.2000,282.2836,否,否,2429.41,2271.50,,2370.12,2442.78,2369.10,2427.61,2427.62,2490.77,2366.36,2378.55
185,rule1,否,做多,2025-05-09 23:29,2302.01,2025-05-10 08:14,2356.27,34,2.357,330.00,13.2000,295.4836,否,否,2358.00,2274.33,,2305.97,2321.60,2300.01,2317.49,2317.48,2321.42,2287.57,2302.01
186,rule1,否,做多,2025-05-10 14:44,2358.38,2025-05-10 15:59,2413.97,4,2.357,330.00,13.2000,308.6836,否,否,2417.13,2351.15,,2361.89,2378.08,2358.29,2373.26,2373.27,2376.14,2357.17,2358.38
187,rule1,否,做空,2025-05-10 20:44,2404.52,2025-05-11 01:44,2495.55,19,-3.786,-530.00,-5.3000,303.3836,否,否,2512.42,2399.55,,2403.72,2415.93,2398.50,2410.90,2410.90,2421.25,2403.70,2404.52
188,rule1,否,做空,2025-05-11 02:29,2468.95,2025-05-11 06:44,2562.42,16,-3.786,-530.00,-21.2000,282.1836,否,否,2578.99,2463.48,,2461.22,2482.51,2457.29,2481.63,2481.64,2487.50,2462.45,2468.95
189,rule1,否,做空,2025-05-11 07:14,2570.97,2025-05-11 08:29,2510.37,4,2.357,330.00,3.3000,285.4836,否,否,2608.13,2504.27,,2570.59,2586.17,2556.78,2577.22,2577.21,2588.79,2563.68,2570.97
190,rule1,否,做多,2025-05-11 09:14,2549.95,2025-05-12 15:44,2604.05,121,2.121,297.00,2.9700,288.4536,是,是,2624.00,2435.51,,2536.69,2552.01,2536.32,2544.12,2544.12,2557.99,2530.65,2549.95
191,rule1,否,做多,2025-05-12 15:44,2572.42,2025-05-13 02:59,2547.59,44,-0.965,-135.15,-5.4060,283.0476,是,是,2585.83,2406.63,,2573.50,2604.00,2557.99,2598.74,2598.73,2624.00,2556.66,2572.42
192,rule1,否,做空,2025-05-13 03:14,2451.69,2025-05-13 21:44,2475.36,73,-0.965,-135.15,-5.4060,277.6416,是,是,2562.00,2415.30,,2448.09,2454.42,2406.63,2435.05,2435.05,2456.84,2428.89,2451.69
193,rule1,否,做多,2025-05-13 22:29,2552.01,2025-05-14 01:14,2612.16,10,2.357,330.00,13.2000,290.8416,否,否,2615.00,2532.01,,2549.66,2555.90,2529.50,2537.08,2537.04,2557.00,2526.74,2552.01
194,rule1,否,做空,2025-05-14 02:44,2628.64,2025-05-14 03:59,2728.15,4,-3.786,-530.00,-5.3000,285.5416,否,否,2738.50,2628.00,,2616.06,2630.32,2611.20,2622.43,2622.44,2650.00,2619.49,2628.64
195,rule1,否,做多,2025-05-14 03:59,2690.94,2025-05-14 22:29,2664.96,73,-0.965,-135.15,-5.4060,280.1356,是,是,2725.99,2559.19,,2696.05,2716.59,2687.58,2713.61,2713.61,2738.50,2671.62,2690.94
196,rule1,否,做空,2025-05-15 02:14,2584.37,2025-05-15 15:44,2529.54,53,2.121,297.00,4.7520,284.8876,是,是,2647.03,2529.03,,2579.20,2591.46,2577.00,2590.46,2590.46,2599.53,2581.89,2584.37
197,rule1,否,做空,2025-05-15 18:29,2540.55,2025-05-15 22:59,2480.67,17,2.357,330.00,5.2800,290.1676,否,否,2579.61,2476.03,,2539.31,2541.82,2522.81,2529.62,2529.62,2545.00,2528.91,2540.55
198,rule1,否,做空,2025-05-16 01:29,2595.32,2025-05-16 02:44,2534.14,4,2.357,330.00,13.2000,303.3676,否,否,2595.32,2524.68,,2599.06,2599.92,2580.78,2584.89,2584.90,2603.59,2584.90,2595.32
199,rule1,否,做空,2025-05-16 03:14,2541.27,2025-05-17 08:44,2487.36,117,2.121,297.00,11.8800,315.2476,是,是,2649.31,2483.08,,2541.83,2543.87,2521.00,2525.00,2525.01,2544.42,2522.61,2541.27
200,rule1,否,做多,2025-05-17 09:29,2496.45,2025-05-18 22:14,2549.41,146,2.121,297.00,4.7520,319.9996,是,是,2550.32,2446.42,,2501.01,2501.01,2486.41,2489.47,2489.48,2496.65,2478.99,2496.45
201,rule1,否,做空,2025-05-18 22:14,2529.99,2025-05-19 02:14,2470.35,15,2.357,330.00,13.2000,333.1996,否,否,2587.61,2455.27,,2518.09,2545.00,2514.32,2542.18,2542.19,2550.32,2529.56,2529.99
202,rule1,否,做多,2025-05-19 07:29,2452.10,2025-05-19 07:59,2509.90,1,2.357,330.00,13.2000,346.3996,否,否,2511.27,2447.80,,2454.90,2454.99,2436.22,2440.87,2440.87,2453.13,2435.64,2452.10
203,rule1,否,做多,2025-05-19 11:44,2383.52,2025-05-19 21:44,2439.70,39,2.357,330.00,3.3000,349.6996,是,是,2441.00,2348.38,,2386.09,2399.63,2383.41,2392.32,2392.32,2395.99,2381.90,2383.52
204,rule1,否,做多,2025-05-20 01:44,2517.00,2025-05-20 10:29,2576.33,34,2.357,330.00,5.2800,354.9796,否,否,2583.10,2472.20,,2518.62,2535.73,2516.99,2528.24,2528.24,2531.00,2512.80,2517.00
205,rule1,否,做多,2025-05-20 10:59,2567.00,2025-05-22 01:44,2542.22,154,-0.965,-135.15,-2.1624,352.8172,是,是,2615.95,2442.40,,2566.11,2588.63,2566.10,2575.78,2575.78,2581.83,2558.68,2567.00
206,rule1,否,做多,2025-05-22 02:59,2475.05,2025-05-22 06:59,2533.39,15,2.357,330.00,13.2000,366.0172,否,否,2543.37,2463.46,,2473.79,2497.10,2473.40,2495.89,2495.90,2496.38,2472.76,2475.05
207,rule1,否,做空,2025-05-22 12:59,2628.11,2025-05-23 19:59,2572.36,123,2.121,297.00,11.8800,377.8972,是,是,2734.23,2551.00,,2622.15,2635.96,2614.11,2635.54,2635.54,2638.50,2625.45,2628.11
208,rule1,否,做空,2025-05-23 21:59,2582.28,2025-05-24 07:14,2521.41,36,2.357,330.00,13.2000,391.0972,否,否,2591.95,2520.79,,2559.75,2582.65,2557.12,2574.18,2574.18,2584.35,2564.49,2582.28
209,rule1,否,做空,2025-05-24 08:29,2525.89,2025-05-25 16:59,2472.31,129,2.121,297.00,4.7520,395.8492,是,是,2575.85,2463.00,,2526.49,2542.84,2516.79,2537.71,2537.70,2544.27,2525.66,2525.89
210,rule1,否,做空,2025-05-26 09:14,2560.01,2025-05-27 21:14,2584.72,143,-0.965,-135.15,-5.4060,390.4432,是,是,2674.40,2509.46,,2556.00,2574.60,2553.43,2571.70,2571.71,2577.00,2558.60,2560.01
211,rule1,否,做多,2025-05-27 22:44,2660.49,2025-05-29 08:59,2716.93,136,2.121,297.00,11.8800,402.3232,是,是,2721.50,2608.50,,2665.14,2665.36,2649.09,2651.24,2651.25,2661.32,2633.36,2660.49
212,rule1,否,做空,2025-05-29 09:14,2710.95,2025-05-29 22:14,2653.44,51,2.121,297.00,11.8800,414.2032,是,是,2788.00,2642.86,,2702.42,2721.50,2702.37,2721.50,2721.50,2722.50,2704.72,2710.95
213,rule1,否,做空,2025-05-30 00:14,2652.52,2025-05-30 08:59,2590.00,34,2.357,330.00,3.3000,417.5032,是,是,2673.48,2557.07,,2649.77,2654.12,2639.02,2643.68,2643.68,2654.70,2640.44,2652.52
214,rule1,否,做多,2025-05-30 15:44,2626.57,2025-06-01 20:44,2601.21,211,-0.965,-135.15,-2.1624,415.3408,是,是,2629.77,2468.56,,2622.10,2643.10,2622.10,2631.89,2631.88,2631.88,2620.03,2626.57
215,rule1,否,做空,2025-06-01 21:59,2493.84,2025-06-03 08:44,2517.91,138,-0.965,-135.15,-1.3515,413.9893,是,是,2626.50,2475.00,,2491.12,2497.52,2490.44,2496.63,2496.63,2498.42,2493.02,2493.84
216,rule1,否,做多,2025-06-03 10:14,2639.41,2025-06-06 03:29,2613.93,260,-0.965,-135.15,-2.1624,411.8269,是,是,2679.88,2506.40,,2638.11,2649.91,2636.44,2646.10,2646.11,2648.00,2636.28,2639.41
217,rule1,否,做多,2025-06-06 05:14,2411.29,2025-06-06 14:29,2468.13,36,2.357,330.00,13.2000,425.0269,否,否,2468.55,2381.49,,2419.11,2444.44,2393.47,2398.90,2398.91,2429.98,2391.66,2411.29
218,rule1,否,做多,2025-06-07 04:14,2493.04,2025-06-09 05:59,2545.93,198,2.121,297.00,4.7520,429.7789,是,是,2548.63,2457.00,,2492.82,2495.55,2483.98,2484.02,2484.02,2494.86,2482.20,2493.04
