leverage,profit_target_percent,min_k1_range_percent,total_trades,wins,losses,win_rate,loss_rate,total_pnl,return_rate
50,90,0.5,102,62,40,60.78431372549019,39.21568627450981,15.800000000000017,15.49019607843139
70,100,0.29,203,117,86,57.635467980295566,42.364532019704434,31.0,15.270935960591133
30,90,0.43,76,46,30,60.526315789473685,39.473684210526315,11.400000000000007,15.00000000000001
30,90,0.31,91,55,36,60.43956043956044,39.56043956043956,13.50000000000001,14.835164835164846
60,100,0.33,176,101,75,57.38636363636363,42.61363636363637,26.0,14.772727272727273
70,100,0.32,197,113,84,57.360406091370564,42.63959390862944,29.0,14.720812182741117
30,60,0.38,106,76,30,71.69811320754717,28.30188679245283,15.59999999999998,14.716981132075452
50,100,0.27,171,98,73,57.30994152046783,42.69005847953216,25.0,14.619883040935672
60,100,0.32,178,102,76,57.30337078651685,42.69662921348314,26.0,14.606741573033707
30,90,0.3,88,53,35,60.22727272727273,39.77272727272727,12.70000000000001,14.431818181818192
30,90,0.28,88,53,35,60.22727272727273,39.77272727272727,12.700000000000006,14.43181818181819
40,80,0.5,96,61,35,63.541666666666664,36.45833333333333,13.800000000000013,14.375000000000012
70,90,0.31,211,127,84,60.18957345971564,39.81042654028436,30.299999999999933,14.360189573459683
30,80,0.42,85,54,31,63.52941176470588,36.470588235294116,12.200000000000014,14.352941176470605
50,100,0.33,161,92,69,57.14285714285714,42.857142857142854,23.0,14.285714285714285
60,90,0.3,183,110,73,60.10928961748634,39.89071038251366,25.999999999999936,14.20765027322401
70,100,0.24,233,133,100,57.08154506437768,42.91845493562232,33.0,14.163090128755366
30,80,0.44,82,52,30,63.41463414634146,36.58536585365854,11.600000000000016,14.146341463414652
50,100,0.31,163,93,70,57.05521472392638,42.944785276073624,23.0,14.11042944785276
50,100,0.32,163,93,70,57.05521472392638,42.944785276073624,23.0,14.11042944785276
40,100,0.34,114,65,49,57.01754385964912,42.98245614035088,16.0,14.035087719298245
50,100,0.48,107,61,46,57.009345794392516,42.99065420560748,15.0,14.018691588785046
60,90,0.29,190,114,76,60.0,40.0,26.59999999999994,13.999999999999968
70,90,0.26,235,141,94,60.0,40.0,32.89999999999992,13.999999999999964
30,60,0.37,111,79,32,71.17117117117117,28.82882882882883,15.399999999999979,13.873873873873855
70,90,0.24,247,148,99,59.91902834008097,40.08097165991903,34.19999999999989,13.846153846153802
70,90,0.39,157,94,63,59.87261146496815,40.12738853503185,21.6,13.757961783439491
60,100,0.36,160,91,69,56.875,43.125,22.0,13.750000000000002
60,100,0.28,183,104,79,56.830601092896174,43.169398907103826,25.0,13.661202185792352
