交易编号,方向,策略类型,入场时间,入场价格,出场时间,出场价格,持仓K线数,持仓分钟数,价格变动%,合约收益%,盈亏USDT
116,做空,rule1,2025-03-11 13:15:00,80179.8,2025-03-11 17:30:00,81783.4,17,255,-2.0,-100.0,-1.0
118,做空,rule1,2025-03-11 22:45:00,79773.04,2025-03-11 23:15:00,81368.5,2,30,-2.0,-100.0,-1.0
119,做空,rule1,2025-03-11 23:15:00,80877.87,2025-03-12 02:15:00,82495.43,12,180,-2.0,-100.0,-1.0
120,做空,rule1,2025-03-12 00:15:00,81487.27,2025-03-12 02:45:00,83117.02,10,150,-2.0,-100.0,-1.0
121,做空,rule2,2025-03-12 01:45:00,81305.57,2025-03-12 02:45:00,82931.68,4,60,-2.0,-100.0,-1.0
124,做多,rule1,2025-03-12 21:30:00,83495.08,2025-03-12 22:30:00,81825.18,4,60,-2.0,-100.0,-1.0
125,做多,rule2,2025-03-12 22:15:00,82476.64,2025-03-12 23:00:00,80827.11,3,45,-2.0,-100.0,-1.0
126,做空,rule1,2025-03-13 00:15:00,81843.86,2025-03-13 06:15:00,83480.74,24,360,-2.0,-100.0,-1.0
130,做多,rule1,2025-03-13 20:30:00,83007.23,2025-03-13 23:30:00,81347.09,12,180,-2.0,-100.0,-1.0
131,做多,rule1,2025-03-13 22:00:00,82042.84,2025-03-14 01:15:00,80401.98,13,195,-2.0,-100.0,-1.0
132,做空,rule1,2025-03-14 09:45:00,81603.08,2025-03-14 18:45:00,83235.14,36,540,-2.0,-100.0,-1.0
134,做空,rule1,2025-03-16 23:00:00,83286.69,2025-03-17 00:00:00,84952.42,4,60,-2.0,-100.0,-1.0
137,做空,rule1,2025-03-17 22:45:00,82913.03,2025-03-18 02:45:00,84571.29,16,240,-2.0,-100.0,-1.0
151,做多,rule1,2025-03-28 12:45:00,86305.38,2025-03-28 22:00:00,84579.27,37,555,-2.0,-100.0,-1.0
160,做空,rule1,2025-04-02 21:45:00,85215.82,2025-04-02 23:30:00,86920.14,7,105,-2.0,-100.0,-1.0
162,做多,rule1,2025-04-03 05:15:00,84621.73,2025-04-03 06:30:00,82929.3,5,75,-2.0,-100.0,-1.0
165,做空,rule1,2025-04-04 02:45:00,82109.45,2025-04-04 15:45:00,83751.64,52,780,-2.0,-100.0,-1.0
172,做多,rule1,2025-04-07 11:45:00,77707.77,2025-04-07 14:15:00,76153.61,10,150,-2.0,-100.0,-1.0
173,做多,rule1,2025-04-07 12:45:00,76989.92,2025-04-07 14:30:00,75450.12,7,105,-2.0,-100.0,-1.0
183,做多,rule1,2025-04-09 00:45:00,77414.25,2025-04-09 09:00:00,75865.96,33,495,-2.0,-100.0,-1.0
187,做空,rule1,2025-04-09 09:30:00,75494.61,2025-04-09 14:00:00,77004.5,18,270,-2.0,-100.0,-1.0
189,做空,rule1,2025-04-09 12:15:00,75720.48,2025-04-09 14:00:00,77234.89,7,105,-2.0,-100.0,-1.0
